data,stayingpower,texture,smell,price,colour,shipping,packing
"Beautiful lipstick color, does not darken lips, does not dry. If you have dark or dry lips, apply honey and see the difference in 3 days",,,,,positive,,
Delivered in the right color and right lipstick model. Many people have bought this. There's nothing to complain about. It's just that the lipstick is a bit dry but not as matte as I thought. Stop it at this price. It's too bad.,negative,negative,,positive,positive,neutral,
"There's nothing to criticize at that price, the image is of the nature of receiving coins ?",,,,positive,,,
"Nice product, slow delivery Next time I will support the shop Rose blackpink",,,,,,negative,
"Uses: Matte lipstick Texture: Light cream Color fastness: red color, quite beautiful color, suitable for those with light skin",positive,neutral,,,positive,,
"Delicious, nutritious, cheap, so buy super smooth lipstick ?",positive,positive,,positive,,,
"I bought it for the second time at the shop This color is suitable for filling the lips! However, delivery took a while",,,,,positive,negative,
"Delivery took a while but it was packaged very securely, haven't tried it yet so I don't know the quality",,,,,,negative,positive
"The lipstick color on my hand is so beautiful but on my lips it's so amazing. I have white skin and dark lips, but when I apply it, it turns purple-red. When the lipstick wears off, the base is pink",,,,,negative,,
It's almost Tet so delivery took a bit longer. The lipstick is very beautiful just like the photo. I've bought from this shop many times,,,,,,negative,
"The lipstick color is beautiful, everyone, super fast delivery. It's worth the money The picture only shows the coin receipt information",,,,positive,positive,positive,
"The lipstick color is beautiful and fragrant I love my belly so much, it's heaven",,,positive,,positive,,
"Genuine product, everything is very cheap and indescribably Sticky powder, light liquid powder, fragrant lipstick, super thin mascara, standard color blush, overall very, very good. 100 VND for quality and exquisite packaging",,,positive,positive,,,positive
Pretty. Fast delivery. Good quality. Packaged securely. Should try,,,,,,positive,positive
The lipstick is beautiful and the color is beautiful! Cheap price but very good quality {~ ^~^},,,,positive,positive,,
The lipstick is not very similar to the picture. The lipstick color is completely different from the picture. Anyone who buys should consider it,,,,,negative,,
"The lipstick is beautiful, the scent is very pleasant. The shop carefully packaged the goods, the packaging also looks cute. ?",,,positive,,,,positive
"Beautiful lipstick, quick delivery, good product packaging, in good condition",,,,positive,,positive,positive
Use: lipstick Texture: ok Color fastness: not very matte Carefully packaged and delivered quickly,negative,positive,,,,positive,positive
"The lipstick is light to hold, the design looks pretty, and fits well. The leaf-shaped lipstick brush is very easy to use, the lipstick glides lightly on the lips and has a shine when applied. The lipstick color is more brown and a little orange. The lipstick has no smell",,positive,neutral,,neutral,,
"The lipstick color is super pretty. I bought it for my mother and the color is really good, but I still have a lot of lipstick I haven't used yet so I don't dare buy more ? it makes my lips very soft, and I also like bbia lipstick for this reason.",,positive,,,positive,,
"Uses: smooth lips, long lasting, durable color, beautiful, eagle Texture: matte cream Color fastness: 8 hours, just call it oske",positive,positive,,,positive,,
"Beautiful lipstick season, smooth and smooth lipstick. Fast delivery, overall satisfied! Will buy again ?",,positive,,,,positive,
"What kind of acrid smell is the lipstick? But the item is 19k so I don't ask for much Haven't tried it yet, don't know if the color is good or not",,,negative,positive,neutral,,
Beautiful lipstick…i took pictures…shipped very quickly…pictures only have chat to receive xuuuu,,,,,,positive,
"The lipstick has a light scent and it's ok if you apply it on your hands, but try to apply it on your lips so I don't know but the sale price is also cheap like this, it's great.",,,positive,positive,positive,,
"The lipstick in general is quite beautiful, but it doesn't suit slightly dark lips. It doesn't give off color",,,,,negative,,
"The color is very pretty, the matte quality is beautiful, I don't think a lipstick under 30 is so beautiful, it's worth buying for a slightly brown color.",,positive,,positive,positive,,
"Delivered enough, bought for a friend so I don't know how the lipstick is :)))))))))))",,neutral,,,,neutral,
The lipstick has beautiful color and product quality is good but it wears off quickly ..,negative,,,,positive,,
Packed securely and beautifully designed. Foreign product but delivered quite quickly,,,,,,positive,positive
"The store packed it carefully. The lipstick was bought as a gift for a friend, so I don't know the quality.",,,,,,,positive
"Regarding the quality of lipstick #501, it's also very beautiful, but I haven't put it on my lips yet. Currently testing it on my hand, I see that it's very smooth, so it doesn't feel heavy on the lips and when applied, the tint layer on the lips is still very smooth. In my opinion, lightly apply a layer on the lips and then apply lipstick on the beautiful bag.",,positive,,,,,
"Great LG product quality, long delivery, good service, worth the money",,,,positive,,negative,
Genuine lipstick with perfect color and super fast delivery,,,,,positive,positive,
"The product quality is great, I hunted for sale at 10.10, the price was also good and the shop also delivered quickly",,,,positive,,positive,
"The quality of the lipstick is ok, but it dries quickly You should buy it, it's beautiful ? ?",,neutral,,,,,
I bought it for you hoping the color would be pretty. International goods take a long time to ship. The image carries coin status,,,,,positive,negative,
"Beautiful, genuine lipstick in Western color",,,,,positive,,
"I bought it twice and I'm still very satisfied, the lipstick is smooth and beautiful, the price is reasonable and the shop also gives very enthusiastic advice so I feel more secure.",,positive,,positive,positive,,
"I bought this lipstick many times because the color is quite satisfactory, domestic product but super beautiful",,,,,positive,,
"Goods delivered quickly. Packed carefully and carefully, the lipstick is soft and easy to apply.. you should just put a little on your lips because it spreads out a lot. The lipstick color is the same as in the picture and really good like chocolate.. 100 points",,positive,positive,,positive,positive,positive
"Excellent product quality, beautifully packaged and sturdy",,,,,,,positive
"The lipstick is very beautiful, due to translation so delivery took a while but the quality is very good",,,,,,negative,
"So beautiful The smooth, well-packaged lipstick is definitely beautiful too Shipper is friendly",,positive,,,,positive,positive
"The lipstick color is the same as the model, it looks very pretty on the lips, the lipstick has a smell but if you smell it carefully, it like choclate! The lipstick is quite drying on the lips:(((",,negative,negative,,positive,,
"The color is beautiful, the lipstick quality is very okela, but the price is cheap, the adhesion is normal",neutral,positive,,positive,positive,,
Bought it for the second time but it's still really good. It's always packaged very carefully,,,,,,,positive
"The lipstick is beautiful, cheap, long lasting, doesn't smell much but can be ignored, fast delivery",positive,,neutral,positive,,positive,
:))))))))))))))) deliveryoooo lauuuuuuunmaaaAaaaaaaaaa so beautiful,,,,,,negative,
"The lipstick is liquid, not really matte, at this price it's okay. Color 942 is not very suitable",neutral,neutral,,positive,negative,,
Fast delivery. The product is suitable for the price. The lipstick so good,,,positive,positive,,positive,
"Pictures are for reference only, lipstick color is beautiful, satisfied, good quality within price range.. Shop carefully packaged, will come back to support again.",,,,positive,positive,,positive
"Uses: 8 Texture: 6 Color fastness: 6 The lipstick on my lips feels moist but a bit powdery even though I exfoliated my skin beforehand. The color is standard, not very matte but at this price you can't ask for anything more ? Well, the 2 colors I bought to use as a base are quite pretty, please take a look :>",negative,positive,,positive,positive,,
"Uses: beautiful lipstick Texture: lightly fragrant creamy lipstick Color fastness: as before, the color is beautiful, but after eating, 7-8 parts fade away Wow, I must say that she is super pretty and always falls in love with her lips",negative,neutral,positive,,positive,,
"Really good quality product, the lipstick color doesn't suit me very much but the quality is beautiful, the eyeliner is really good…",,positive,,,negative,,
"Delivery took a while, but the lipstick is ok, it's so smooth on the lips",,positive,,,,negative,
"The lipstick arrived in good, beautiful packaging. The lipstick smell is not the design is compact, I tested the color and it's okay, but I haven't used it yet. However, when I ordered 4, the store delivered 3 I asked the shop but got no response. Mik will no longer support purchases at the shop",,,positive,,positive,negative,positive
Son is so pretty. Tested it on my lips and I fell in love with it. The color is so The lipstick is the type I likehhhh,,positive,,,positive,,
"Fragrant lipstick, fast delivery, beautiful color, smooth application, slightly easy to wear, 10 VND ?",negative,positive,positive,,positive,positive,
"Good product, exactly as pictured. Fast delivery, store delivered correctly. Quality products",,,,,,positive,
"The goods are packaged very carefully, the outer box is slightly dented due to transportation but the inside is packed with an extra layer of shock so it is intact. I bought it for today so I'll have to try it to know ? 10 VND",,,,,,negative,positive
The lipstick has a slightly sticky color and a pleasant coffee smell. Applying it on yourself is also suitable for your skin,,,positive,,neutral,,
Product packaging is very nice and sturdy Excellent product quality The shop's service is very good Shipper is quite friendly Very worth the money Delivery time is very fast,,,,positive,,positive,positive
"Fast shipping, carefully packaged to avoid",,,,,,positive,positive
"The lipstick is smooth, easy to spread, beautiful design, light to hold. Suitable for the price",positive,positive,,positive,,,
"I received the goods, although it took a while to ship, I am very satisfied with the delivery. The lipstick color is easy to use on a bare face and still ok.",,,,,positive,negative,
"Uses: beautiful color Texture: smooth Color fastness: standard color Reasonable price, beautiful packaging, carefully packaged",neutral,positive,,positive,positive,,
"The teacher is missing 1 tree, I hope the model shop can solve it!",,,,,,negative,
"The lipstick color is so beautiful Very fast delivery, 5 6 days already received",,,,,positive,positive,
Texture: very creamy lipstick Color fastness: Good color fastness The store delivered very quickly and packaged the goods very carefully,positive,positive,,,,positive,positive
Very nice quality product The lipstick great and is worth the money You should try buying it,,,positive,positive,,,
The shop packed the goods super carefully. Tested two super quality,,positive,,,,,positive
"Uses: beautiful and beautiful lipstick Texture: thick and beautiful, smooth skin, no worries Color fastness: use lipstick for about 3-4 hours each time It's so pretty, go buy it now",positive,,,,positive,,
"The color doesn't seem to be the same, the product took a long time to arrive, but in return the product is very beautiful, the smell is also fragrant, smaller than expected, but still worth the money, you should try it.",,,positive,positive,negative,negative,
"The lipstick is smooth and lasts for a long time, so I bought it I don't have any pictures so I should buy it",positive,positive,,,,,
"Good product quality, fast delivery, carefully packaged and beautiful. Pictures are for receipt purposes only",,,,,,positive,positive
"The lipstick is just like the picture, the chocolate smell is very fragrant, and the shipping was also fast. I should buy it",,,positive,,,positive,
"The color is beautiful and true to the picture, the soft lipstick is very pleasant to use",,positive,,,positive,,
"The lipstick is beautifully packaged, the color is the same as the picture. But I'm not very white so I don't paint well. Next time I will learn from experience and buy earthy orange",,,,,positive,,positive
Hunting for a discount sale and the product I received was very good. I like the basic style so I only order paint colors that match my skin. I haven't used the chalk yet so I haven't applied it yet. OK? It feels good to receive many gifts. You should buy it!,,,,positive,neutral,,
"I really like color 003 of these two colors, the lipstick is smooth and smooth",,positive,,,positive,,
"Uses: 9 Texture: 6 Color fastness: 6 Beautiful color, smooth, slightly powdery texture Color fastness is not high",negative,positive,,,positive,,
"Fast delivery, the color is very pretty, the packaging is very pretty",,,,,positive,positive,
"Carefully packaged, fast delivery, color is true red-brown, very satisfied",,,,,positive,positive,positive
"Pretty lipstick. Smooth lipstick. Good color, beautiful I am very satisfied with this product from this shop.",,positive,,,positive,,
"Pack the product securely. Lovely, cute little lipstick. Probably due to the epidemic situation, the delivery time is a bit long, which is understandable. Waiting tirelessly, I finally received the goods",,,,,,negative,positive
"The lipstick color is beautiful, the lipstick is liquid. The color is just like the picture, the ability to adhere to the lips is quite good without releasing too much lipstick. Lips should be exfoliated before applying.",positive,neutral,,,positive,,
"The lipstick is beautiful, just like the photo, the quality is ok, delivery is a bit slow but the quality is ok",,positive,,,,negative,
I bought it on sale so the price was cheap so I bought all 4 trees. Smooth lipstick. Everyone should buy.,,positive,,positive,,,
"The lipstick is so pretty, it like chocolate, but the shop took a while to prepare, the color is beautiful",,,positive,,positive,,
"The store packaged carefully, the lipstick is extremely pretty. Highly recommended",,,,,,,positive
"International products, fast delivery, carefully packaged, love it ?",,,,,,positive,positive
"The lipstick is beautiful, luxurious, genuine, smooth. Fast delivery, careful packaging, beautiful packaging. The lipstick quality is also nice.",,positive,,,,positive,positive
"The lipstick is very good and also cheap After wearing the lipstick, it still has a super pretty light color layer",positive,,,positive,positive,,
"Beautiful lipstick color, of chocolate, delivery ?:>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>",,,positive,,positive,neutral,
"The product quality is excellent, the packaging is very careful and sturdy. The lipstick color is pretty, no need to talk about it~",,,,,positive,,positive
"Color fastness: very durable The lipstick has a beautiful design, every time I apply it it dries and my lips are very smooth",positive,positive,,,,,
Uses: xhsb is Texture: Color fastness: ok,positive,,,,,,
"The lipstick is very beautiful, I have bought it many times and the delivery is fast",,,,,,positive,
"Extremely high quality product, the color is extremely beautiful, delivery took a while but it was worth the money",,,,positive,positive,negative,
"The lipstick color is beautiful, I'm very satisfied, the delivery is quite fast and especially the widow's cake is cheap",,,,positive,positive,positive,
"Nice lipstick, everyone, leaning toward brown, fast delivery",,,,,positive,positive,
Son matches the price. The color is not as dark as in the picture.gggujjhhhbvvvgv,,,,positive,negative,,
"The lipstick so good and like milk tea, the color is beautiful and smooth, I bought both colors to use ..",,positive,positive,,positive,,
"The lipstick color is very pretty. Used to apply the first layer very beautifully, the lipstick is also smooth and soft on the lips",,positive,,,positive,,
Hehee the photo of the eyeliner pencil is so good and the color is so pretty ?,,,,,positive,,
The lipstick is so beautiful Smooth texture Incredible scent…,,positive,positive,,,,
"Beautiful, affordable, nice packaging, fast delivery despite the pandemic nên mua nhé ?",,,,positive,,positive,
"The color is beautiful and natural, the lipstick is smooth and silky like blackgroud But it's smaller than I imagined",,positive,,,positive,,
The lipstick gets dirty easily and the color is quite beautiful,,,,,positive,,
"Received the goods, the lipstick color is so soft and smooth on my lips, I really like it",,positive,,,positive,,
"Product delivered quickly, correct color and correct product. Good product quality, securely packaged.",,,,,positive,positive,positive
Okee products are packed carefully Shipper is friendly Unrelated images :((,,,,,,positive,positive
Product is ok. Excellent lipstick color. Lip balm is also very good,,,,,positive,,
"Mascara takes a while to dry and smudges quickly, but I really like it The lipstick gives a moist color to the lips but it's not very matte and the color is beautiful Eyeliner has a slightly unpleasant smell But everything is so great",negative,,,,positive,,
"The lipstick color is beautiful, this is the 3rd time I have purchased from this shop. The lipstick is also a bit matte",positive,,,,positive,,
The lipstick is super pretty. This is the first time I bought a dark color like this so I'm a little unfamiliar with it,,,,,negative,,
"I really like the shop's products, the shop packs the goods super well. Give the shop 5 stars",,,,,,,positive
"First time hunting for sale, 2 genuine lipsticks are really good, from packaging, lipstick box to lipstick cover and even lipstick quality. I love it so much",,positive,,positive,,,positive
"Anything new these days? Beautiful product, smooth lipstick, easy to spread, cheap, beautiful quality",,positive,,positive,,,
"The shop delivered all the right color products, qt products so it took a while ?",,,,,positive,negative,
The color on my lips comes out pink but still quite pretty. The lipstick color lasts quite a long time,positive,,,,positive,,
"The lipstick is beautiful, the color is perfect, quite matte and doesn't rub off easily. When applied, it doesn't dry out the lips, and the texture is smooth",positive,positive,,,positive,,
"Texture: jd Color fastness: good Extremely fast delivery, genuine, beautiful color, well packaged",positive,neutral,,,positive,positive,positive
"The lipstick is very beautiful, the quality is soft and the lipstick cover is also quite fragrant. Overall, I like it",,positive,positive,,,,
Delivery in 9 days. Check genuine code ok. The color is also okay.,,,,,positive,neutral,
"The lipstick color is very pretty, moisturizing and nourishing? approved Buy 1 get 1 cheap but I like it so much",,,,positive,positive,,
"Fast delivery, beautiful lipstick but the lipstick shell has terrible fingerprints",,,,,,positive,
"Great color payoff, true color, a little dry, smooth lipstick, cheap too Worth buying ^^",,positive,,positive,positive,,
"Beautiful lipstick color, like romand zero velvet tint 06 nma, long lasting. Soft material, good sale price, ok. You should nourish your lips carefully",positive,positive,,positive,positive,,
"The lipstick color is beautiful, but you have to apply it heavily to get the color. In the photo, I collab with colors 2 and 3. The smell is a bit harsh but overall it's okay for this price",,,negative,positive,positive,,
Nice product. Suitable price. Saying them is ok. Video for the purpose of receiving coins,,,,positive,,,
"Color fastness: bthg Uses: beautiful Texture: smooth Lipstick is beautiful, soft and smooth, great product quality",neutral,positive,,,,,
"FRAGRANT LIPSTICK, COLOR LIKE THE PICTURE, A LOT DRYING SO YOU MUST APPLY LIP BALM BEFORE EVERYONE",,negative,positive,,positive,,
"The lipstick color is quite pretty, the material is soft and smooth, I received the goods quite quickly, the shop is attentive, the lipstick is slightly defective as shown in the picture.",,positive,,,positive,positive,
The lipstick color is beautiful and the quality is also good. The lipstick is very beautiful. I should buy it,,positive,,,positive,,
"The shop delivered quickly, packaged carefully, fully labeled goods, will continue to support the shop",,,,,,positive,positive
"The product is very beautiful. I bought it for fun but it's so beautiful. Everyone should support the shop. The shop is very cute and pretty. I will support the shop for a long time because the product is very good. Every time I order it, it's as expected?",positive,,,,,,
"Focallure's newest lipstick is coming soon! [Seductive lips, soft and smooth like velvet] New matte velvet lipstick, makes your lips look dreamy and soft like cotton. When first applied, it feels like clay, glides on lightly then becomes clay Delivery took quite a while",positive,positive,,,,negative,
"The lipstick is pretty but the delivery took a while and it's hard to apply, but the color is beautiful and the packaging is good",,negative,,,positive,negative,positive
"Fast delivery, careful packaging, super nice lipstick and very pretty color ?",,positive,,,positive,positive,positive
Delivery is quite fast Pack carefully There are also anti-counterfeit Shopee mall should rest assured,,,,,,positive,positive
"The lipstick is so pretty, everyone, vote and buy it, beautiful color, smooth texture ?",,positive,,,positive,,
Correct delivery. Pack carefully. Beautiful color. Standard. Fragrant. Will support,,,positive,,positive,,positive
"Received the goods carefully packaged, beautiful and good quality products",,,,,,,positive
"Beautiful product, easy to use. Neatly packaged and easy to open, I couldn't expect anything more, the product is so beautiful, thank you seller for being considerate",,,,,,,positive
"Texture: gel Color fastness: color fast Good lipstick everyone, the color is very long lasting, it wears well.",positive,neutral,,,,,
The lipstick color is suitable for all skin types.. The packaging is sturdy and very beautiful…,,,,,positive,,positive
Product quality is good Delivery is not very fast Packaged securely,,,,,,negative,positive
The color is not as as I would like. The price is cheap and the Mall is always genuine so you can rest assured.,,,,positive,negative,,
"The lipstick color is very beautiful, smooth but long-lasting, has the scent of chocolate, international products so shipping takes a while, but the price and quality are very reasonable, will support",positive,positive,positive,positive,positive,negative,
"This is a penny-pinching comment, the product quality is quite good and the packaging is good",,,,,,,positive
"Fast delivery, 2 to 3 meals are available, beautiful lipstick color, I love it",,,,,positive,positive,
The lipstick is super pretty. I bought it twice already and the lipstick is both cheap and beautiful,,,,positive,,,
"The quality of the room lighting is too poor, the color is matte, my lips are already dry so my lips are dry, 0k",positive,negative,,,neutral,,
"The product is very sturdy, delivered in the right color ?. I've bought a lot from this shop and I'm always satisfied. This time I even got a really cute bag as a gift ?",,,,,positive,neutral,positive
"It took quite a while for the lipstick to arrive, but it was not damaged because of the packaging or because the shop saw that the outer shell was distorted and the lipstick has not been tested yet",,,,,,negative,neutral
"The lipstick is beautiful, you should buy it, everyone. Dealing with foreign goods, delivery takes a little longer. Ncl beautiful fragrant lipstick that to lips",positive,,positive,,,negative,
I delivered it to the wrong address so I didn't receive it. But I would say the color is quite beautiful and the price is cheap,,,,positive,positive,,
I really like this color. The paint is smooth and looks full on my lips. I will definitely buy it again,,positive,,,positive,,
"I bought lipstick as a gift for a friend so I don't have a picture to post. Overall, it good and has a nice color, my friend really likes it",,,positive,,positive,,
"The lipstick is smooth on the lips, slightly shiny, and has a fragrant scent. In general, quite satisfied",,positive,positive,,,,
"The lipstick is so fragrant, I always use it and will continue to buy it even though it's on sale, but the packaging is still very good",,,positive,positive,,,positive
"Long delivery, thin lipstick doesn't tone up very well at this price range, that's all",,negative,,positive,,negative,
"The lipstick is beautiful, smooth, the color is just like the picture, the product quality is excellent compared to the price. Each shell is slightly distorted.",,positive,,positive,positive,,
"Because it was a gift, I don't know the color and scent. Fast delivery",,,neutral,,neutral,positive,
"The lipstick is smooth, quite matte, of chocolate, fast delivery nma kbiet is it genuine so I'm a bit worried ?",positive,positive,positive,,,positive,
Fragrant lipstick. The lipstick quality is faint. It doesn't stick to the lips for long but the color is very beautiful,negative,positive,positive,,positive,,
This color is not the same as the photo the shop posted. It's a bit picky about the skin. Carefully packaged by the shop,,,,,negative,,positive
"The lipstick quality is so smooth, just received the goods. Very well packaged. Super fast delivery",,positive,,,,positive,positive
"Beautiful lipstick, fast shipping and free gift ?",,,,,,positive,
"The lipstick is the right color, applies smoothly on the lips, and lasts long. Bought four colors, all of which are dark, so I'm picky about what I wear. When I run out, I will support the shop",positive,positive,,,positive,,
"Chat about good quality products The lipstick smell is fragrant, quite Support",positive,,positive,,,,
"The lipstick color is slightly different from the picture, but it's still beautiful. The lipstick is dry, so if you have dry lips, pay attention to lip care",,negative,,,positive,,
"Beautiful product, delivered correctly, delivered in full, everyone should buy from this shop because you will not be disappointed",,,,,,positive,
"The lipstick color is beautiful and the small lipstick looks very pretty, but due to the pandemic, delivery took a bit longer",,,,,positive,negative,
"Beautiful lipstick color, very satisfied. I bought it twice already, so the quality is quite good, the price is cheap. Overall, it's ok. I will buy again next time.",,,,positive,positive,,
"Delivery took a while, but product quality is ok, worth the wait?beautiful lipstick",,,,,,negative,
"Cheap and beautiful lipstick, ladies. Will continue to support the shop ?",,,,positive,,,
"The lipstick lasts a long time and is a bit dry. The pink color is pink, cheap price, fast delivery",positive,negative,,positive,neutral,positive,
"The lipstick is very smooth At first, when I applied the first layer, the color didn't come out very well, but after applying more layers, the color came out very well. It suits all skin types. In general, you should buy it, the price is cheap and affordable ?",,positive,,positive,positive,,
"The lipstick is smooth, but I don't know if it's because of the lips or because of the lipstick, but it doesn't stick to the inside of the lips, but the color is beautiful and worth buying",negative,positive,,,positive,,
Shop delivers quickly. Pack carefully. At this price it's ok,,,,positive,,positive,positive
"Uses: beautiful lipstick shell, beautiful lipstick color Texture: soft and smooth, fragrant with chocolate + mint scent Color fastness: quite good",positive,positive,positive,,positive,,
"Because it's a foreign shop, delivery takes a long time, but the goods arrived are of good quality and beautiful",,,,,,negative,
The lipstick is okay and the color is ok,,,,,positive,,
"Smooth lipstick, friendly delivery guy too. Next time, I will continue to support ?. The image is for the purpose of receiving coins",,positive,,,,positive,
"Delivery took a while. Not sure about the quality, haven't used it yet. I'll give it a try for now",,,,,,negative,
"The product is so beautiful, delivered on time, carefully packaged, very satisfied, will continue to support the shop",,,,,,positive,positive
"I bought color 403 and it looks great, the color is so pretty, it matches so well",,,,,positive,,
"The image is for recognition purposes only, the lipstick color is",,,,,positive,,
The lipstick color on the lips is very satisfactory and suits the belly with a reasonable price. I will support this shop for a long time,,,,positive,positive,,
"The color is beautiful and has a very fragrant chocolate smell, I love it, thank you seller, I wish you good luck with the sale",,,positive,,positive,,
"Cheap lipstick, a bit powdery but still very good ?",,negative,,positive,,,
"Correct product, the lipstick is a bit powdery, looks pretty but buying 2 tubes is a bit cheaper.",,negative,,positive,,,
"The lipstick so beautiful. Very satisfied, will support the shop again and again, the shop packs the goods carefully",,,positive,,,,positive
Very beautiful item. Give the shop 5 stars. Very beautiful and quality product. Shipper is friendly,,,,,,positive,
Shop delivered as expected in about 7 days Lipstick is as described The shell is so cute Has a light fragrance and smooth texture I love it hahaha,,positive,positive,,,positive,
"Haven't opened it yet but the box is very pretty and the delivery guy was also nice The price is very good, you should buy it",,,,positive,,positive,
"Very worth the money, beautiful",,,,positive,positive,,
"The goods are very okeeee. Delivery took a while but it's okay, it's beautiful. Thank you very much shop. Next time will continue to support the shop. Wishing the shop a prosperous and successful business. ?",,,,,,negative,
"The lipstick color is very beautiful, packaged securely. I can try",,,,,positive,,positive
"The product is cheap, the color is beautiful. The price is on sale so it's cheap, I don't know if it's harmful to my lips.",,,,positive,positive,,
"When you first apply it, it has a pink color. If you apply it a few more layers, it will turn out to be the same color as the sample. It so good",,,positive,,positive,,
"Color 402,504 is very beautiful, suitable for Asian skin. The lipstick is smooth and fragrant. I have bought many colors of this line Soup sale buy 4 dishes for 200k",,positive,positive,positive,positive,,
"Very beautiful, I will support the shop's many boxes, cheap and good product, delivery is ok",,,,positive,,positive,
so beautiful but delivery took so long,,,,,,negative,
"Beautiful lipstick, worth buying. Next time will support. The image carries the coin receipt",,,,positive,,,
"I like to use lipstick from this brand, the smell of this lipstick is similar to the smell of sicula. Matte lipstick adheres firmly, applies color to lips ?",positive,,positive,,positive,,
Beautiful dark color It would take a long time to beat a stick like that.,,,,,positive,,
"The lipstick is beautiful, the color is the same as the picture, but the shipping time is a bit long due to foreign products",,,,,positive,negative,
"Initial assessment is that this lipstick has a pretty smooth and beautiful lipstick, and when it wears off, it leaves behind an earthy pink tint base. I bought 501 and 402, 501 is lighter than 402 and both colors are quite flattering. I feel it's extremely worth the money for these two and recommend everyone to buy them, note that the lipstick smell is a bit unpleasant.",,positive,negative,positive,positive,,
