original_text,target_aspect,original_sentiment,prompt_for_gpt,stayingpower,texture,smell,price,colour,shipping,packing
"haven't tried the product yet, but i think it's on sale so i bought it to try, ok, i'll buy again",price,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding price. Keep other aspects unchanged.
Review: ""haven't tried the product yet, but i think it's on sale so i bought it to try, ok, i'll buy again""
Neutral Rewrite:",,,,positive,,,
"enough items, carefully packed",packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""enough items, carefully packed""
Neutral Rewrite:",,,,,,,positive
"carefully packaged, beautiful design, but the lipstick comes off very quickly. when you apply it, it disappears and doesn't stay on your lips for long.",packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""carefully packaged, beautiful design, but the lipstick comes off very quickly. when you apply it, it disappears and doesn't stay on your lips for long.""
Neutral Rewrite:",negative,,,,,,positive
just opened the package and i'm already very impressed with the lipstick. packaged in a hard inner box that looks luxurious and beautiful. the important thing is that the lipstick is smooth and the color is super pretty. son held it heavily,packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""just opened the package and i'm already very impressed with the lipstick. packaged in a hard inner box that looks luxurious and beautiful. the important thing is that the lipstick is smooth and the color is super pretty. son held it heavily""
Neutral Rewrite:",,positive,,,positive,,positive
"product exactly as pictured, brand new delivery took a long time, ordered in august and only received in october. due to the pandemic, please understand well packaged, took forever to open shipper nch is so boring, disrespectful to customers ??",packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""product exactly as pictured, brand new delivery took a long time, ordered in august and only received in october. due to the pandemic, please understand well packaged, took forever to open shipper nch is so boring, disrespectful to customers ??""
Neutral Rewrite:",,,,,,negative,positive
"i have bought here twice, delivery is very fast, packaging is sturdy, photos are for illustration purposes only.",packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""i have bought here twice, delivery is very fast, packaging is sturdy, photos are for illustration purposes only.""
Neutral Rewrite:",,,,,,positive,positive
"in general, okela, cheap price, beautiful color, cheap price, so don't expect much quality",price,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding price. Keep other aspects unchanged.
Review: ""in general, okela, cheap price, beautiful color, cheap price, so don't expect much quality""
Neutral Rewrite:",,,,positive,positive,,
"fast delivery, well packaged, correct delivery, and a gift included",packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""fast delivery, well packaged, correct delivery, and a gift included""
Neutral Rewrite:",,,,,,positive,positive
"fast, economical delivery the lipstick color is beautiful and the scent is fragrant. at this price, the lipstick is ok",price,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding price. Keep other aspects unchanged.
Review: ""fast, economical delivery the lipstick color is beautiful and the scent is fragrant. at this price, the lipstick is ok""
Neutral Rewrite:",,,positive,positive,positive,positive,
"well packaged, beautiful box, fragrant lipstick but a little strong, the color is beautiful, just the color i like ?",packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""well packaged, beautiful box, fragrant lipstick but a little strong, the color is beautiful, just the color i like ?""
Neutral Rewrite:",,,negative,,positive,,positive
"fast delivery d0ong1 carefully packaged, beautiful lipstick color, very thicj1 ....",packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""fast delivery d0ong1 carefully packaged, beautiful lipstick color, very thicj1 ....""
Neutral Rewrite:",,,,,positive,positive,positive
"extremely beautiful lipstick color on smooth lips, even if applied in many layers, it still looks beautiful, carefully packaged",packing,positive,"Rewrite the following review to express a NEUTRAL sentiment regarding packing. Keep other aspects unchanged.
Review: ""extremely beautiful lipstick color on smooth lips, even if applied in many layers, it still looks beautiful, carefully packaged""
Neutral Rewrite:",,positive,,,positive,,positive
