text,stayingpower_pred,stayingpower_conf,stayingpower_true,texture_pred,texture_conf,texture_true,smell_pred,smell_conf,smell_true,price_pred,price_conf,price_true,colour_pred,colour_conf,colour_true,shipping_pred,shipping_conf,shipping_true,packing_pred,packing_conf,packing_true,msr_resolution,conflict_score,stayingpower_importance,texture_importance,smell_importance,price_importance,colour_importance,shipping_importance,packing_importance
"uses: fast delivery, quality product packaging texture: beautiful color fastness: quite long lasting",positive,0.504,positive,neutral,0.6034,positive,positive,0.7209,None,positive,0.7841,None,positive,0.7232,None,positive,0.8198,positive,positive,0.7863,positive,negative,0.4948,0.1451,0.1465,0.1412,0.1413,0.143,0.1431,0.1399
the color is quite nice and smells of chocolate. but international delivery takes a bit longer,positive,0.5688,None,positive,0.7462,None,positive,0.8039,positive,positive,0.806,None,positive,0.8657,positive,negative,0.789,negative,positive,0.7402,None,negative,0.4903,0.1424,0.1472,0.1469,0.1469,0.1483,0.1252,0.1431
delivery took a little while but the lipstick looks beautiful. i can check the code... i haven't opened it yet because i haven't used it yet. i don't know if this color suits my skin or not ??????,neutral,0.402,None,positive,0.5396,None,positive,0.5848,None,positive,0.5807,None,positive,0.4968,neutral,negative,0.7832,negative,positive,0.5511,None,negative,0.4925,0.1468,0.149,0.147,0.1439,0.1451,0.1271,0.1411
"the lipstick is beautiful but dries too quickly, before even applying it, it dries on my lips",positive,0.5085,None,negative,0.8419,negative,positive,0.533,None,positive,0.7283,None,positive,0.57,None,positive,0.4324,None,positive,0.5216,None,negative,0.4939,0.1422,0.128,0.1448,0.1522,0.1455,0.1442,0.143
"the product is as beautiful as the picture and has the scent of chocolate, worth buying gnasgsks tendonuanbdidnhdjdidndjdidns sibehdkshaiwnsjdnxnnxhdhhe",positive,0.7454,None,positive,0.6991,None,positive,0.8827,positive,positive,0.8532,None,positive,0.8096,None,positive,0.5413,None,positive,0.8574,None,negative,0.4943,0.1434,0.144,0.1424,0.1419,0.1432,0.1441,0.1409
"beautiful lipstick, fast delivery, color exactly as pictured, looks beautiful on lips, price is too cheap, will continue to support",positive,0.7661,None,positive,0.7189,None,positive,0.7904,None,positive,0.8746,positive,positive,0.893,positive,positive,0.9228,positive,positive,0.8569,None,negative,0.4924,0.1421,0.1439,0.142,0.1426,0.1437,0.1441,0.1416
"the product is suitable for the price. at first, the lipstick smells a bit harsh, but after a while it evaporates and gives off a bit of a chocolate scent",negative,0.7631,None,negative,0.6334,None,positive,0.4951,neutral,positive,0.7624,positive,negative,0.4812,None,negative,0.3866,None,positive,0.559,None,negative,0.4911,0.132,0.1362,0.1461,0.1542,0.1413,0.145,0.1453
uses: the color is super pretty texture: apply beautifully color fastness: very long lasting the lipstick is super pretty.,positive,0.5848,positive,neutral,0.5275,positive,positive,0.818,None,positive,0.8247,None,positive,0.7936,positive,positive,0.6609,None,positive,0.8232,None,negative,0.4938,0.1446,0.1458,0.1418,0.1414,0.1433,0.1428,0.1403
genuine mall products with guaranteed quality the lipstick color is beautiful pack carefully,positive,0.7649,None,positive,0.7047,None,positive,0.8667,None,positive,0.8652,None,positive,0.8562,positive,positive,0.6869,None,positive,0.8646,positive,negative,0.4934,0.1432,0.1441,0.1423,0.1422,0.1433,0.1438,0.1412
"the lipstick is very beautiful, very suitable for the price, worth the purchase and delivery takes a bit",positive,0.6079,None,positive,0.7714,None,positive,0.8249,None,positive,0.8042,positive,positive,0.8723,None,negative,0.7717,negative,positive,0.7657,None,negative,0.4903,0.1445,0.1475,0.1465,0.1459,0.1478,0.125,0.143
"the lipstick color is very beautiful, stays on the lips for a long time, satisfied with the product and service but delivery does not take too long",positive,0.7937,positive,positive,0.8126,None,positive,0.8425,None,positive,0.8649,None,positive,0.8564,positive,positive,0.7148,positive,positive,0.8437,None,negative,0.4929,0.1424,0.1441,0.1421,0.1425,0.1435,0.1444,0.141
"beyond my imagination?? the color is beautiful, smooth, doesn't dry my lips and the price is cheap??",positive,0.7775,None,positive,0.7446,positive,positive,0.8353,None,positive,0.8603,positive,positive,0.8539,positive,positive,0.7313,None,positive,0.8544,None,negative,0.4931,0.1431,0.144,0.1422,0.1422,0.1434,0.1439,0.1412
"this shop delivers very quickly. will still continue to support. last time i ordered, the shop was prepared and there was one product missing. how do i get to the shop?",positive,0.4541,None,positive,0.5025,None,positive,0.6137,None,positive,0.7564,None,positive,0.4631,None,positive,0.8524,positive,positive,0.6472,None,negative,0.4933,0.1415,0.145,0.1424,0.1438,0.1411,0.1465,0.1397
bought the 4th plant for my momeeeeeeeeee at first it was quite fragrant but then the smell became a bit different,positive,0.5316,None,positive,0.6657,None,negative,0.6126,neutral,positive,0.5353,None,positive,0.4763,None,positive,0.6004,None,positive,0.4789,None,negative,0.4914,0.1418,0.1495,0.1322,0.144,0.1428,0.1487,0.141
"i like it so much i like it. the color looks amazingly beautiful on the outside, but it's because of my computer so i can't get the color right, but it's so beautifulyyy",positive,0.5713,None,positive,0.566,None,positive,0.8111,None,positive,0.7835,None,positive,0.5071,positive,positive,0.4576,None,positive,0.7583,None,negative,0.4945,0.1447,0.1451,0.1429,0.1418,0.1429,0.1426,0.14
"the lipstick is very beautiful, delivery took a while but it's ok, packaged carefully,",positive,0.5851,None,positive,0.7656,None,positive,0.8214,None,positive,0.8106,None,positive,0.8777,None,negative,0.7772,neutral,positive,0.7585,positive,negative,0.4902,0.1432,0.1474,0.1467,0.1464,0.148,0.1251,0.1431
"the lipstick is beautiful, has a light shine, beautiful color and smells good. p/s: the lipstick color in the photo is a bit different from the outside.",positive,0.5627,None,positive,0.5462,None,positive,0.7891,positive,positive,0.7653,None,positive,0.4926,neutral,neutral,0.4413,None,positive,0.7507,None,negative,0.4946,0.1449,0.1456,0.1429,0.1416,0.1429,0.1421,0.14
the shell looks very good. the quality is not yet used so i don't know yet..fast delivery,neutral,0.5444,None,neutral,0.5181,None,positive,0.5506,None,positive,0.7341,None,positive,0.4897,None,positive,0.8805,positive,positive,0.7185,None,negative,0.4958,0.1454,0.146,0.1403,0.1418,0.142,0.1447,0.1399
lipstick has beautiful color fragrant smell but it's a bit small hehe you get what you pay for,positive,0.6464,None,positive,0.5846,None,positive,0.809,positive,positive,0.7837,positive,positive,0.6266,positive,neutral,0.4721,None,positive,0.7537,None,negative,0.4935,0.1444,0.1451,0.1428,0.1419,0.1432,0.1429,0.1398
"excellent product quality, fast delivery, very nice packaging",positive,0.7378,None,positive,0.6851,None,positive,0.7594,None,positive,0.8639,None,positive,0.8813,None,positive,0.9284,None,positive,0.85,positive,negative,0.4922,0.1417,0.1441,0.1419,0.1427,0.1437,0.1443,0.1416
the picture is not relevant but the lipstick is worth the price. it's fine for anyone to change it,positive,0.6326,None,positive,0.5951,None,positive,0.8478,None,positive,0.8097,positive,positive,0.697,None,positive,0.4969,None,positive,0.8064,None,negative,0.4932,0.1438,0.145,0.1427,0.1419,0.1431,0.1431,0.1404
"the lipstick is so pretty, i really like it, the quality of the lipstick is perfect, the pictures and vids are for receiving purposes.",positive,0.7902,None,positive,0.7551,positive,positive,0.8963,None,positive,0.8817,None,positive,0.8793,positive,positive,0.6139,None,positive,0.8749,None,negative,0.4939,0.1432,0.1439,0.1424,0.1422,0.1433,0.1439,0.1412
"although the pictures and videos are not relevant, the lipstick color is really pretty. i think you're a little redder than wine.",positive,0.592,None,positive,0.5971,None,positive,0.7329,None,positive,0.7326,None,positive,0.4461,positive,positive,0.4752,None,positive,0.7003,None,negative,0.4929,0.1446,0.1455,0.1431,0.1418,0.142,0.1433,0.1398
the shipping of pretty color lipstick is a bit slow hihihehehehhehehehe,negative,0.5498,None,positive,0.5751,None,positive,0.714,None,positive,0.7888,None,positive,0.7909,positive,negative,0.7983,negative,positive,0.6317,None,negative,0.4888,0.1355,0.1449,0.1484,0.1503,0.1495,0.1281,0.1434
"the quality of the lipstick is ok, the smell is a bit strong, the color 402 is very nice and overall it's reasonable for the price",positive,0.627,None,positive,0.6656,positive,negative,0.6939,negative,positive,0.6346,positive,positive,0.699,positive,positive,0.6483,None,positive,0.6126,None,negative,0.4923,0.1426,0.147,0.1287,0.1456,0.1462,0.1475,0.1424
"beautiful lipstick color apply lightly, slightly red, matte, hard to wash off, combined with earthy pink color, it is very suitable for people with dark skin",positive,0.5844,positive,neutral,0.4864,None,positive,0.7819,None,positive,0.7633,None,positive,0.5479,positive,positive,0.5288,None,positive,0.7513,None,negative,0.4947,0.1447,0.1455,0.1423,0.1413,0.1434,0.1428,0.1399
beautiful lipstick... first time buying but will support in the future... delivery is a bit slow....,positive,0.4532,None,positive,0.6622,None,positive,0.7592,None,positive,0.804,None,positive,0.8337,None,negative,0.7849,negative,positive,0.6749,None,negative,0.4892,0.1385,0.1463,0.1476,0.1487,0.149,0.1269,0.143
"very good product, worth the money to support the shop next time.hlhdydktszgnxmv mxstistzkgxditv nzyksutsutsj",positive,0.7639,None,positive,0.7381,None,positive,0.8956,None,positive,0.8717,positive,positive,0.8682,None,positive,0.5022,None,positive,0.875,None,negative,0.4946,0.1433,0.1439,0.1424,0.1421,0.1432,0.144,0.1411
"the color is quite pretty, everyone. the packaging is good compared to the price, a bit dry on the lips with a slightly strange smell :((",positive,0.6167,None,negative,0.4768,negative,negative,0.7039,negative,positive,0.6918,None,positive,0.7432,positive,positive,0.5229,None,positive,0.6288,None,negative,0.4925,0.1441,0.1378,0.1304,0.1497,0.1484,0.145,0.1446
fast delivery. standard packagingnnnnnnnnmmmmmmmmmmmmmnnnnnnnnnn,positive,0.7352,None,positive,0.6956,None,positive,0.7689,None,positive,0.8699,None,positive,0.8893,None,positive,0.9391,positive,positive,0.8503,None,negative,0.492,0.1415,0.1438,0.1419,0.1428,0.1438,0.1444,0.1417
"packaged carefully and beautifully, but when applied to the hands it's very nice, but when applied to the lips, it's a bit ugly. i don't think it's suitable for soaked skin.",positive,0.4811,None,negative,0.8149,None,positive,0.4332,None,positive,0.677,None,negative,0.4723,negative,negative,0.4939,None,negative,0.4434,positive,negative,0.4965,0.1443,0.1307,0.1455,0.1535,0.1419,0.1413,0.1428
"great lipstick quality, color as pictured, carefully packaged, delivery a bit slow,........................",positive,0.5503,None,positive,0.7643,None,positive,0.8148,None,positive,0.8067,None,positive,0.8673,positive,negative,0.7843,negative,positive,0.7313,positive,negative,0.49,0.1417,0.1475,0.1471,0.147,0.1484,0.1255,0.1429
the color is so different from the picture :((,negative,0.52,None,positive,0.4682,None,positive,0.5291,None,positive,0.7291,None,negative,0.6427,negative,negative,0.3541,None,positive,0.5462,None,negative,0.491,0.1376,0.1429,0.1472,0.1504,0.1338,0.1437,0.1444
"the lipstick color is very good, i recommend that you buy it, the quality is quite ok, not very matte but it's beautiful",negative,0.7663,negative,positive,0.7668,positive,positive,0.6462,None,positive,0.8257,None,positive,0.7104,positive,positive,0.4907,None,positive,0.7133,None,negative,0.4868,0.1255,0.1483,0.143,0.1477,0.1444,0.1481,0.1429
"the teacher is missing 1 tree, i hope the model shop can solve it!!",positive,0.4594,None,positive,0.5523,None,positive,0.7262,None,positive,0.6721,None,positive,0.5096,None,negative,0.5861,negative,positive,0.6078,None,negative,0.4902,0.1452,0.1472,0.147,0.1444,0.1435,0.1318,0.1409
"i really like it, the goods arrived on my birthday, the shop responded quickly and enthusiastically",positive,0.7604,None,positive,0.7435,None,positive,0.789,None,positive,0.8642,None,positive,0.858,None,positive,0.9142,positive,positive,0.8348,None,negative,0.4924,0.1419,0.144,0.1421,0.1427,0.1437,0.1443,0.1413
"sending my sincere apologies to the shop for the quick delivery and my review being too late. the chocolate-scented lipstick color i chose is 02 trendy colors that are not picky about skin or teeth but need makeup to go with it. the shop delivered extremely fast, within 2 days i received my order",positive,0.545,None,positive,0.5765,None,positive,0.6496,positive,positive,0.7952,None,positive,0.5907,positive,positive,0.8997,positive,positive,0.7213,None,negative,0.4931,0.1413,0.1448,0.1423,0.1433,0.1423,0.1456,0.1405
"the lipstick is silky and has a slight orange and alcohol scent. bought for 16k, don't ask for much",positive,0.6142,positive,positive,0.6557,positive,positive,0.6828,neutral,positive,0.7449,positive,neutral,0.4678,None,positive,0.5518,None,positive,0.7079,None,negative,0.4933,0.1446,0.1451,0.1427,0.1418,0.141,0.1444,0.1404
"structure: long, set color fastness: average the color is beautiful, once you use it you will feel beautiful, you should exfoliate your lips before using and keep your lips moisturized.",neutral,0.4911,neutral,positive,0.5105,neutral,positive,0.6897,None,positive,0.6382,None,positive,0.6572,positive,negative,0.6764,None,positive,0.657,None,negative,0.4916,0.1489,0.1494,0.1449,0.1425,0.1462,0.1275,0.1405
it took more than 30 days to receive the lipstick?? but the lipstick is very pretty and the color is super pretty ???,positive,0.6833,None,positive,0.7113,None,positive,0.8893,None,positive,0.8491,None,positive,0.8316,positive,neutral,0.5933,negative,positive,0.8468,None,negative,0.4938,0.144,0.1444,0.1427,0.1422,0.1436,0.1424,0.1407
"the lipstick is so beautiful, the color is sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo...",positive,0.8189,None,positive,0.7845,None,positive,0.8861,None,positive,0.8889,None,positive,0.9027,positive,positive,0.6912,None,positive,0.88,None,negative,0.4934,0.1429,0.1438,0.1424,0.1425,0.1434,0.1438,0.1413
"the lipstick quality is difficult to spread and the scent is fragrant. at this price, the lipstick quality is not very good, the color is not the same as the picture, which is a shame",negative,0.5126,None,negative,0.876,negative,positive,0.4361,positive,positive,0.7394,negative,negative,0.5172,negative,negative,0.5074,None,positive,0.4726,None,negative,0.4959,0.1414,0.1298,0.1453,0.1558,0.1413,0.1419,0.1445
"the lipstick color is very pretty, color 08 has more shimmer. fast delivery, ordered on october 10th and was afraid it would arrive in time for the october 20th holiday to give as a gift but luckily it still arrived on time. orders over 300k should receive free foundation, makeup remover cotton and mask. the makeup remover cotton bag is smaller than expected",positive,0.5978,None,positive,0.6058,None,positive,0.6612,None,positive,0.7968,neutral,positive,0.5294,positive,positive,0.8963,positive,positive,0.7369,None,negative,0.4937,0.1432,0.1445,0.1421,0.1426,0.142,0.145,0.1406
"fast delivery, cheap price, very good on lips ????????????????????????????",positive,0.7297,None,positive,0.6993,None,positive,0.7766,None,positive,0.8721,positive,positive,0.89,None,positive,0.9296,positive,positive,0.8502,None,negative,0.4921,0.1417,0.1439,0.142,0.1428,0.1438,0.1442,0.1416
"the chocolate lipstick smells super fragrant, although the color on my lips is a bit purple and pink, it also comes with a free mask.",positive,0.6188,None,positive,0.6285,None,positive,0.769,positive,positive,0.7559,None,positive,0.4484,neutral,positive,0.4739,None,positive,0.7273,None,negative,0.4932,0.1445,0.1449,0.1432,0.1417,0.1421,0.1435,0.1401
"beautiful color, has a delicious chocolate scent, very smooth, not dry, recommended to buy",positive,0.8012,None,positive,0.7772,positive,positive,0.8567,positive,positive,0.8528,None,positive,0.842,positive,positive,0.5713,None,positive,0.8453,None,negative,0.494,0.1431,0.144,0.1422,0.1422,0.1434,0.1444,0.1408
"lipstick is very beautiful. quality goods. smooth lipstick, worth the money. excellent",positive,0.8015,None,positive,0.7969,positive,positive,0.8756,None,positive,0.8706,positive,positive,0.8694,None,positive,0.5639,None,positive,0.8623,None,negative,0.494,0.143,0.1438,0.1423,0.1423,0.1433,0.1443,0.141
"the quality of the product is good, the lipstick applies smoothly and the color is very beautiful on the lips!!",positive,0.8098,None,positive,0.7992,positive,positive,0.8716,None,positive,0.8717,None,positive,0.8611,positive,positive,0.6448,None,positive,0.8674,None,negative,0.4935,0.143,0.1438,0.1423,0.1422,0.1433,0.1442,0.1411
uses: play beautifully texture: terrible color fastness: matte the lipstick is very beautiful. the lipstick is smooth yyyyyyyyyyyyyyy,positive,0.5153,positive,neutral,0.5229,positive,positive,0.7381,None,positive,0.7623,None,positive,0.6005,None,positive,0.5795,None,positive,0.7487,None,negative,0.4944,0.1449,0.1464,0.1413,0.1415,0.1431,0.1432,0.1397
"uses: beautiful texture: beautiful color fastness: ok fast delivery, beautiful paint, cheap price. next time i will continue to support this shop....",positive,0.6492,positive,positive,0.5589,positive,positive,0.7798,None,positive,0.8542,positive,positive,0.838,None,positive,0.8994,positive,positive,0.8471,None,negative,0.4927,0.1435,0.1448,0.1418,0.1419,0.1432,0.1436,0.1411
"even though the lipstick is from abroad, super fast delivery, eye-catching packaging, great value for money. everyone loves it",positive,0.7091,None,positive,0.6724,None,positive,0.7481,None,positive,0.8519,positive,positive,0.8477,None,positive,0.9297,positive,positive,0.8307,positive,negative,0.4921,0.142,0.144,0.142,0.1426,0.1437,0.1443,0.1414
this one is a bit dry but the color comes out beautifully ??????????????????????????????,positive,0.5834,None,negative,0.8418,negative,positive,0.4899,None,positive,0.7438,None,positive,0.6551,positive,negative,0.4295,None,positive,0.5596,None,negative,0.4938,0.1446,0.1279,0.1428,0.1524,0.1473,0.1413,0.1438
son likes to use it very much smooth lipstick bought a lipstick that i really like light scent of chocolate,positive,0.779,None,positive,0.7805,positive,positive,0.865,positive,positive,0.8577,None,positive,0.8266,None,positive,0.5855,None,positive,0.8517,None,negative,0.4937,0.1432,0.1439,0.1423,0.142,0.1433,0.1443,0.141
product packaged securely. hunting for sale should be cheap. ??????????????,positive,0.763,None,positive,0.7171,None,positive,0.8781,None,positive,0.8642,positive,positive,0.8237,None,positive,0.6342,None,positive,0.8659,positive,negative,0.4936,0.1431,0.144,0.1424,0.1421,0.1432,0.144,0.1412
fast delivery. the scent is very pleasant. pack carefully. will support more.,positive,0.7421,None,positive,0.7004,None,positive,0.7683,positive,positive,0.8715,None,positive,0.8793,None,positive,0.9369,positive,positive,0.8501,positive,negative,0.4922,0.1419,0.1438,0.142,0.1427,0.1437,0.1442,0.1416
"the lipstick color is very beautiful, smooth but long-lasting, has the scent of chocolate, international products so shipping takes a while, but the price and quality are very reasonable, will support",positive,0.6332,positive,positive,0.8063,positive,positive,0.8434,positive,positive,0.8202,positive,positive,0.8904,positive,negative,0.7467,negative,positive,0.7802,None,negative,0.4902,0.1445,0.1473,0.1463,0.1458,0.1477,0.1254,0.1429
"the lipstick smells like chocolate, it makes me want to eat it but i don't really like it :)) the color is okay, long lasting",positive,0.6232,positive,negative,0.4829,None,positive,0.4709,positive,positive,0.7603,None,positive,0.7215,positive,positive,0.5672,None,positive,0.6227,None,negative,0.4904,0.1418,0.1357,0.139,0.1489,0.146,0.1464,0.1421
"cheap lipstick, the color is of course different from the picture, different from the swatch video i watched of ms. maihuongmakeup huhu :((( the color is 105 kp nude pink but it's so annoying, lol",positive,0.4658,None,positive,0.5783,None,positive,0.5683,None,positive,0.7317,positive,negative,0.5126,negative,positive,0.5661,None,positive,0.5892,None,negative,0.4904,0.1403,0.1441,0.1452,0.1469,0.1347,0.1468,0.1419
images are for coin recognition purposes only haven't used it yet so don't know how it works the lipstick probably comes off easily,negative,0.8195,negative,negative,0.5075,None,positive,0.5935,None,positive,0.7353,None,positive,0.5028,None,negative,0.3817,None,positive,0.5675,None,negative,0.4895,0.1291,0.1393,0.1474,0.1522,0.1433,0.144,0.1447
"the color is long-lasting, bright red as described, not rough when applied to the lips, feels fragrant when applied to the lips, fast delivery",positive,0.7318,None,positive,0.6399,positive,positive,0.7982,positive,positive,0.8598,None,positive,0.8261,positive,positive,0.8974,positive,positive,0.8417,None,negative,0.4925,0.143,0.1442,0.1421,0.1423,0.1433,0.1438,0.1412
the color is so pretty mmmm ?? should try this color even though the delivery took a while,positive,0.5892,None,positive,0.7692,None,positive,0.8191,None,positive,0.8082,None,positive,0.8765,positive,negative,0.7802,negative,positive,0.7597,None,negative,0.4902,0.1432,0.1474,0.1467,0.1464,0.1481,0.1251,0.1431
dark orange color. the lipstick is smooth and easy to apply. mmmmmmmmmmmmmm,positive,0.6719,None,positive,0.7395,positive,positive,0.7382,None,positive,0.7582,None,positive,0.4428,neutral,positive,0.5472,None,positive,0.7234,None,negative,0.4922,0.1437,0.1449,0.1428,0.1419,0.1413,0.1452,0.1402
"product is ok, beautiful and smooth, very good. the shop will uubgr for long and long she ck vks jns h nck",positive,0.8036,None,positive,0.7966,positive,positive,0.894,None,positive,0.8799,None,positive,0.8836,None,positive,0.5805,None,positive,0.8814,None,negative,0.4939,0.143,0.1438,0.1423,0.1422,0.1433,0.1441,0.1412
"beautiful product, fast delivery time, very carefully packaged product",positive,0.7374,None,positive,0.6971,None,positive,0.752,None,positive,0.8662,None,positive,0.8782,None,positive,0.9318,positive,positive,0.8392,positive,negative,0.4922,0.1418,0.144,0.1418,0.1428,0.1438,0.1443,0.1415
"the second product that is highly recommended for everyone, besides the super pretty 9-panel eye palette, is the lipstick from focallure ???? the color design of the lipstick shell is light, the lipstick brush is designed in a leaf shape and looks ok, the important thing is that the lipstick color is extremely beautiful, the color is very accurate, when applied on the lips, it feels smooth, not powdery ????",positive,0.7281,None,positive,0.6875,positive,positive,0.8478,None,positive,0.8204,None,positive,0.7278,positive,positive,0.5592,None,positive,0.8131,None,negative,0.4935,0.1437,0.1443,0.1424,0.1417,0.1433,0.1442,0.1405
