text,stayingpower_pred,stayingpower_conf,stayingpower_true,texture_pred,texture_conf,texture_true,smell_pred,smell_conf,smell_true,price_pred,price_conf,price_true,colour_pred,colour_conf,colour_true,shipping_pred,shipping_conf,shipping_true,packing_pred,packing_conf,packing_true,msr_resolution,conflict_score
"the product is as beautiful as the picture and has the scent of chocolate, worth buying gnasgsks tendonuanbdidnhdjdidndjdidns sibehdkshaiwnsjdnxnnxhdhhe",positive,0.765,None,positive,0.7356,None,positive,0.864,positive,positive,0.9032,None,positive,0.9308,None,neutral,0.6345,None,positive,0.8919,None,Overall Positive,0.0
"beautiful lipstick, fast delivery, color exactly as pictured, looks beautiful on lips, price is too cheap, will continue to support",positive,0.7942,None,positive,0.6551,None,positive,0.8675,None,positive,0.9222,positive,positive,0.9513,positive,positive,0.8516,positive,positive,0.9364,None,Overall Positive,0.0
"the product is suitable for the price. at first, the lipstick smells a bit harsh, but after a while it evaporates and gives off a bit of a chocolate scent",negative,0.5447,None,positive,0.3641,None,negative,0.7789,neutral,positive,0.7617,positive,positive,0.4593,None,neutral,0.4459,None,positive,0.5812,None,MIXED,0.8216
uses: the color is super pretty texture: apply beautifully color fastness: very long lasting the lipstick is super pretty.,neutral,0.5026,positive,neutral,0.6948,positive,positive,0.7718,None,positive,0.8494,None,positive,0.8633,positive,positive,0.5266,None,positive,0.8571,None,Overall Positive,0.0
genuine mall products with guaranteed quality the lipstick color is beautiful pack carefully,positive,0.7939,None,positive,0.8193,None,positive,0.8996,None,positive,0.9302,None,positive,0.9121,positive,neutral,0.7062,None,positive,0.911,positive,Overall Positive,0.0
"the lipstick is very beautiful, very suitable for the price, worth the purchase and delivery takes a bit",negative,0.4595,None,positive,0.7643,None,positive,0.7786,None,positive,0.8751,positive,positive,0.8077,None,negative,0.8367,negative,positive,0.8605,None,MIXED,0.984
"the lipstick color is very beautiful, stays on the lips for a long time, satisfied with the product and service but delivery does not take too long",positive,0.746,positive,positive,0.8229,None,positive,0.8858,None,positive,0.9282,None,positive,0.8807,positive,neutral,0.7753,positive,positive,0.8997,None,Overall Positive,0.0
"beyond my imagination?? the color is beautiful, smooth, doesn't dry my lips and the price is cheap??",positive,0.8049,None,positive,0.9027,positive,positive,0.9205,None,positive,0.9435,positive,positive,0.8858,positive,neutral,0.7241,None,positive,0.922,None,Overall Positive,0.0
"this shop delivers very quickly. will still continue to support. last time i ordered, the shop was prepared and there was one product missing. how do i get to the shop?",neutral,0.5186,None,neutral,0.4658,None,positive,0.3922,None,positive,0.5672,None,negative,0.4305,None,positive,0.6285,positive,negative,0.4938,None,MIXED,0.5842
bought the 4th plant for my momeeeeeeeeee at first it was quite fragrant but then the smell became a bit different,neutral,0.4097,None,positive,0.5059,None,negative,0.6749,neutral,positive,0.6662,None,negative,0.3893,None,neutral,0.3807,None,positive,0.4641,None,MIXED,0.6448
"i like it so much i like it. the color looks amazingly beautiful on the outside, but it's because of my computer so i can't get the color right, but it's so beautifulyyy",positive,0.6275,None,positive,0.4728,None,positive,0.8318,None,positive,0.8273,None,positive,0.916,positive,neutral,0.4129,None,positive,0.7702,None,Overall Positive,0.0
"the lipstick is very beautiful, delivery took a while but it's ok, packaged carefully,",negative,0.4809,None,positive,0.7499,None,positive,0.7875,None,positive,0.8706,None,positive,0.8218,None,negative,0.8398,neutral,positive,0.8588,positive,MIXED,0.9982
"the lipstick is beautiful, has a light shine, beautiful color and smells good. p/s: the lipstick color in the photo is a bit different from the outside.",positive,0.4727,None,positive,0.5236,None,positive,0.6541,positive,positive,0.722,None,negative,0.3825,neutral,negative,0.5647,None,positive,0.6394,None,MIXED,0.7206
the shell looks very good. the quality is not yet used so i don't know yet..fast delivery,neutral,0.8581,None,neutral,0.7611,None,positive,0.6392,None,positive,0.8335,None,neutral,0.6261,None,positive,0.9034,positive,positive,0.8509,None,Overall Positive,0.0
lipstick has beautiful color fragrant smell but it's a bit small hehe you get what you pay for,positive,0.8016,None,positive,0.7933,None,positive,0.8999,positive,positive,0.9344,positive,positive,0.9091,positive,neutral,0.6369,None,positive,0.9159,None,Overall Positive,0.0
"excellent product quality, fast delivery, very nice packaging",positive,0.7997,None,positive,0.7191,None,positive,0.8593,None,positive,0.9251,None,positive,0.9352,None,positive,0.9028,None,positive,0.9366,positive,Overall Positive,0.0
the picture is not relevant but the lipstick is worth the price. it's fine for anyone to change it,positive,0.6051,None,positive,0.7788,None,positive,0.8476,None,positive,0.8909,positive,positive,0.7473,None,neutral,0.762,None,positive,0.8448,None,Overall Positive,0.0
"the lipstick is so pretty, i really like it, the quality of the lipstick is perfect, the pictures and vids are for receiving purposes.",positive,0.78,None,positive,0.796,positive,positive,0.8969,None,positive,0.9241,None,positive,0.8992,positive,neutral,0.7092,None,positive,0.9034,None,Overall Positive,0.0
"although the pictures and videos are not relevant, the lipstick color is really pretty. i think you're a little redder than wine.",positive,0.647,None,positive,0.4759,None,positive,0.7588,None,positive,0.8129,None,positive,0.8417,positive,neutral,0.6133,None,positive,0.774,None,Overall Positive,0.0
the shipping of pretty color lipstick is a bit slow hihihehehehhehehehe,negative,0.6086,None,negative,0.7094,None,positive,0.7175,None,positive,0.7977,None,positive,0.8096,positive,negative,0.7773,negative,positive,0.5952,None,MIXED,1.2199
"the quality of the lipstick is ok, the smell is a bit strong, the color 402 is very nice and overall it's reasonable for the price",positive,0.5753,None,positive,0.5982,positive,negative,0.832,negative,positive,0.8139,positive,positive,0.7404,positive,neutral,0.448,None,positive,0.7485,None,MIXED,0.6713
"beautiful lipstick color apply lightly, slightly red, matte, hard to wash off, combined with earthy pink color, it is very suitable for people with dark skin",positive,0.7147,positive,positive,0.7532,None,positive,0.8906,None,positive,0.8968,None,positive,0.7862,positive,neutral,0.8058,None,positive,0.865,None,Overall Positive,0.0
beautiful lipstick... first time buying but will support in the future... delivery is a bit slow....,negative,0.484,None,negative,0.4345,None,positive,0.7584,None,positive,0.8399,None,positive,0.7959,None,negative,0.8598,negative,positive,0.7275,None,MIXED,1.1329
"very good product, worth the money to support the shop next time.hlhdydktszgnxmv mxstistzkgxditv nzyksutsutsj",positive,0.7747,None,positive,0.7792,None,positive,0.8963,None,positive,0.9235,positive,positive,0.8704,None,neutral,0.736,None,positive,0.8918,None,Overall Positive,0.0
"the color is quite pretty, everyone. the packaging is good compared to the price, a bit dry on the lips with a slightly strange smell :((",positive,0.5896,None,positive,0.4257,negative,negative,0.8339,negative,positive,0.7974,None,positive,0.7868,positive,neutral,0.4415,None,positive,0.6865,None,MIXED,0.6651
fast delivery. standard packagingnnnnnnnnmmmmmmmmmmmmmnnnnnnnnnn,positive,0.7349,None,positive,0.6818,None,positive,0.8219,None,positive,0.9107,None,positive,0.8871,None,positive,0.9458,positive,positive,0.9186,None,Overall Positive,0.0
"packaged carefully and beautifully, but when applied to the hands it's very nice, but when applied to the lips, it's a bit ugly. i don't think it's suitable for soaked skin.",negative,0.461,None,negative,0.7016,None,negative,0.7291,None,positive,0.5359,None,negative,0.4472,negative,neutral,0.3619,None,negative,0.6742,positive,MIXED,0.455
"great lipstick quality, color as pictured, carefully packaged, delivery a bit slow,........................",negative,0.5037,None,positive,0.5307,None,positive,0.7835,None,positive,0.8581,None,positive,0.8426,positive,negative,0.8494,negative,positive,0.7735,positive,MIXED,0.997
the color is so different from the picture :((,negative,0.6703,None,negative,0.4705,None,negative,0.4022,None,negative,0.4464,None,negative,0.8714,negative,negative,0.5203,None,negative,0.5188,None,Overall Negative,0.0
"the lipstick color is very good, i recommend that you buy it, the quality is quite ok, not very matte but it's beautiful",negative,0.8431,negative,positive,0.6902,positive,positive,0.8205,None,positive,0.8634,None,positive,0.8741,positive,neutral,0.4845,None,positive,0.829,None,MIXED,0.6986
"the teacher is missing 1 tree, i hope the model shop can solve it!!",negative,0.523,None,negative,0.6387,None,negative,0.389,None,negative,0.4995,None,negative,0.6785,None,negative,0.7597,negative,negative,0.7425,None,Overall Negative,0.0
"i really like it, the goods arrived on my birthday, the shop responded quickly and enthusiastically",positive,0.8023,None,positive,0.7935,None,positive,0.8986,None,positive,0.9395,None,positive,0.9004,None,positive,0.887,positive,positive,0.9416,None,Overall Positive,0.0
"sending my sincere apologies to the shop for the quick delivery and my review being too late. the chocolate-scented lipstick color i chose is 02 trendy colors that are not picky about skin or teeth but need makeup to go with it. the shop delivered extremely fast, within 2 days i received my order",positive,0.7486,None,positive,0.6658,None,positive,0.866,positive,positive,0.9239,None,positive,0.9158,positive,positive,0.9078,positive,positive,0.9324,None,Overall Positive,0.0
"the lipstick is silky and has a slight orange and alcohol scent. bought for 16k, don't ask for much",neutral,0.451,positive,positive,0.6141,positive,positive,0.6649,neutral,positive,0.8158,positive,neutral,0.6822,None,neutral,0.7115,None,positive,0.7804,None,Overall Positive,0.0
"structure: long, set color fastness: average the color is beautiful, once you use it you will feel beautiful, you should exfoliate your lips before using and keep your lips moisturized.",neutral,0.6516,neutral,neutral,0.8083,neutral,positive,0.6532,None,positive,0.7739,None,positive,0.7704,positive,neutral,0.3943,None,positive,0.7752,None,Overall Positive,0.0
it took more than 30 days to receive the lipstick?? but the lipstick is very pretty and the color is super pretty ???,positive,0.7188,None,positive,0.5818,None,positive,0.8312,None,positive,0.8717,None,positive,0.9312,positive,neutral,0.6506,negative,positive,0.8279,None,Overall Positive,0.0
"the lipstick is so beautiful, the color is sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo...",positive,0.5578,None,positive,0.6069,None,positive,0.8469,None,positive,0.8642,None,positive,0.9481,positive,neutral,0.455,None,positive,0.8788,None,Overall Positive,0.0
"the lipstick quality is difficult to spread and the scent is fragrant. at this price, the lipstick quality is not very good, the color is not the same as the picture, which is a shame",negative,0.6725,None,negative,0.5837,negative,negative,0.4647,positive,positive,0.4975,negative,negative,0.8005,negative,negative,0.5171,None,negative,0.57,None,MIXED,0.4372
"the lipstick color is very pretty, color 08 has more shimmer. fast delivery, ordered on october 10th and was afraid it would arrive in time for the october 20th holiday to give as a gift but luckily it still arrived on time. orders over 300k should receive free foundation, makeup remover cotton and mask. the makeup remover cotton bag is smaller than expected",positive,0.6776,None,positive,0.5347,None,positive,0.8428,None,positive,0.9185,neutral,positive,0.8481,positive,positive,0.9167,positive,positive,0.9198,None,Overall Positive,0.0
"fast delivery, cheap price, very good on lips ????????????????????????????",positive,0.7879,None,positive,0.6941,None,positive,0.8492,None,positive,0.92,positive,positive,0.9334,None,positive,0.9119,positive,positive,0.9337,None,Overall Positive,0.0
"the chocolate lipstick smells super fragrant, although the color on my lips is a bit purple and pink, it also comes with a free mask.",positive,0.4313,None,positive,0.609,None,positive,0.7007,positive,positive,0.7551,None,neutral,0.6703,neutral,neutral,0.6682,None,positive,0.6874,None,Overall Positive,0.0
"beautiful color, has a delicious chocolate scent, very smooth, not dry, recommended to buy",positive,0.7969,None,positive,0.8976,positive,positive,0.9203,positive,positive,0.9449,None,positive,0.8687,positive,neutral,0.7477,None,positive,0.9199,None,Overall Positive,0.0
"lipstick is very beautiful. quality goods. smooth lipstick, worth the money. excellent",positive,0.7685,None,positive,0.8854,positive,positive,0.9125,None,positive,0.9369,positive,positive,0.837,None,neutral,0.7793,None,positive,0.9039,None,Overall Positive,0.0
"the quality of the product is good, the lipstick applies smoothly and the color is very beautiful on the lips!!",positive,0.7783,None,positive,0.8714,positive,positive,0.9086,None,positive,0.9376,None,positive,0.8794,positive,neutral,0.7672,None,positive,0.9078,None,Overall Positive,0.0
uses: play beautifully texture: terrible color fastness: matte the lipstick is very beautiful. the lipstick is smooth yyyyyyyyyyyyyyy,positive,0.5089,positive,neutral,0.5979,positive,negative,0.4255,None,positive,0.6637,None,positive,0.6423,None,positive,0.4143,None,positive,0.4876,None,MIXED,0.3679
"uses: beautiful texture: beautiful color fastness: ok fast delivery, beautiful paint, cheap price. next time i will continue to support this shop....",positive,0.7933,positive,positive,0.7407,positive,positive,0.8922,None,positive,0.9399,positive,positive,0.9289,None,positive,0.7605,positive,positive,0.9437,None,Overall Positive,0.0
"even though the lipstick is from abroad, super fast delivery, eye-catching packaging, great value for money. everyone loves it",positive,0.7586,None,positive,0.6492,None,positive,0.8427,None,positive,0.9187,positive,positive,0.9348,None,positive,0.9216,positive,positive,0.9314,positive,Overall Positive,0.0
this one is a bit dry but the color comes out beautifully ??????????????????????????????,positive,0.5157,None,negative,0.8644,negative,positive,0.4504,None,positive,0.7523,None,positive,0.8472,positive,neutral,0.3519,None,positive,0.5626,None,MIXED,0.6773
son likes to use it very much smooth lipstick bought a lipstick that i really like light scent of chocolate,positive,0.7883,None,positive,0.9038,positive,positive,0.9227,positive,positive,0.9489,None,positive,0.835,None,neutral,0.7248,None,positive,0.9212,None,Overall Positive,0.0
product packaged securely. hunting for sale should be cheap. ??????????????,positive,0.7554,None,positive,0.8554,None,positive,0.91,None,positive,0.9371,positive,positive,0.8401,None,neutral,0.7349,None,positive,0.9061,positive,Overall Positive,0.0
fast delivery. the scent is very pleasant. pack carefully. will support more.,positive,0.8245,None,positive,0.747,None,positive,0.8857,positive,positive,0.9341,None,positive,0.9243,None,positive,0.8693,positive,positive,0.9457,positive,Overall Positive,0.0
"the lipstick color is very beautiful, smooth but long-lasting, has the scent of chocolate, international products so shipping takes a while, but the price and quality are very reasonable, will support",positive,0.4536,positive,positive,0.8174,positive,positive,0.8084,positive,positive,0.8801,positive,positive,0.845,positive,negative,0.8146,negative,positive,0.8803,None,MIXED,0.6939
"the lipstick smells like chocolate, it makes me want to eat it but i don't really like it :)) the color is okay, long lasting",positive,0.4784,positive,negative,0.6171,None,negative,0.5798,positive,positive,0.763,None,positive,0.8574,positive,positive,0.4194,None,positive,0.6059,None,MIXED,0.8654
"cheap lipstick, the color is of course different from the picture, different from the swatch video i watched of ms. maihuongmakeup huhu :((( the color is 105 kp nude pink but it's so annoying, lol",negative,0.6205,None,positive,0.4415,None,negative,0.3814,None,positive,0.5546,positive,negative,0.8347,negative,negative,0.4763,None,positive,0.4428,None,MIXED,0.887
images are for coin recognition purposes only haven't used it yet so don't know how it works the lipstick probably comes off easily,negative,0.8824,negative,negative,0.5609,None,positive,0.4261,None,positive,0.5482,None,negative,0.4824,None,negative,0.3465,None,negative,0.651,None,MIXED,0.7307
"the color is long-lasting, bright red as described, not rough when applied to the lips, feels fragrant when applied to the lips, fast delivery",positive,0.8132,None,positive,0.7923,positive,positive,0.9029,positive,positive,0.9443,None,positive,0.8991,positive,positive,0.8041,positive,positive,0.9446,None,Overall Positive,0.0
the color is so pretty mmmm ?? should try this color even though the delivery took a while,negative,0.5116,None,positive,0.6064,None,positive,0.7673,None,positive,0.8411,None,positive,0.8271,positive,negative,0.8527,negative,positive,0.8119,None,MIXED,1.0076
dark orange color. the lipstick is smooth and easy to apply. mmmmmmmmmmmmmm,neutral,0.4171,None,positive,0.7525,positive,positive,0.6584,None,positive,0.7169,None,negative,0.4959,neutral,neutral,0.4079,None,positive,0.6639,None,MIXED,0.4211
"product is ok, beautiful and smooth, very good. the shop will uubgr for long and long she ck vks jns h nck",positive,0.8121,None,positive,0.8914,positive,positive,0.9239,None,positive,0.9444,None,positive,0.8317,None,neutral,0.7116,None,positive,0.9207,None,Overall Positive,0.0
"beautiful product, fast delivery time, very carefully packaged product",positive,0.7585,None,positive,0.6588,None,positive,0.8316,None,positive,0.9109,None,positive,0.9335,None,positive,0.9217,positive,positive,0.9238,positive,Overall Positive,0.0
"the second product that is highly recommended for everyone, besides the super pretty 9-panel eye palette, is the lipstick from focallure ???? the color design of the lipstick shell is light, the lipstick brush is designed in a leaf shape and looks ok, the important thing is that the lipstick color is extremely beautiful, the color is very accurate, when applied on the lips, it feels smooth, not powdery ????",positive,0.7662,None,positive,0.8314,positive,positive,0.9076,None,positive,0.9438,None,positive,0.8624,positive,neutral,0.7768,None,positive,0.9121,None,Overall Positive,0.0
"really, the lipstick quality and color are absolutely beautiful. if i knew it was this beautiful, i would have bought 3 or 4 trees. really pretty. i think it's even more beautiful than blackrouge",positive,0.7796,None,positive,0.7043,positive,positive,0.8889,None,positive,0.9119,None,positive,0.9337,positive,neutral,0.5678,None,positive,0.908,None,Overall Positive,0.0
"the image has the quality of receiving coins and fast delivery, so i don't know",neutral,0.8019,None,neutral,0.6681,None,positive,0.6951,None,positive,0.858,None,neutral,0.6283,None,positive,0.9047,positive,positive,0.8678,None,Overall Positive,0.0
"uses: new lipstick structure: shaped like a tru color fastness: beautiful after painting my lips, i feel confident and the color is beautiful and smells like chocolate: 3333 delivery took a while",neutral,0.5382,neutral,neutral,0.6928,neutral,positive,0.5985,positive,positive,0.7658,None,positive,0.787,positive,negative,0.7515,negative,positive,0.755,None,MIXED,0.5971
"every color is beautiful, cheap price but top quality......",positive,0.6904,None,positive,0.7395,None,positive,0.8615,None,positive,0.9017,positive,positive,0.9449,positive,neutral,0.6367,None,positive,0.8946,None,Overall Positive,0.0
beautiful quality lipstick the color makes the lips smooth and supple color 501 is more beautiful than 402,positive,0.7883,None,positive,0.8659,positive,positive,0.9222,None,positive,0.9373,None,positive,0.8661,neutral,neutral,0.7576,None,positive,0.9134,None,Overall Positive,0.0
pretty color but not very fragrant yixtuzitxp7druxhl hl yociyxtixtixti tyy8 hk hovy9ct8x47zru gk y9xru jpct7 gk kh y8xtu bk oy,negative,0.5428,None,negative,0.7467,None,negative,0.7561,neutral,positive,0.6775,None,positive,0.7698,positive,positive,0.3853,None,negative,0.4987,None,MIXED,1.0653
"nice packaging, pretty lipstick jssjsjsjskdkksksksskksjsjsjssskk",positive,0.7426,None,positive,0.7615,None,positive,0.8879,None,positive,0.9165,None,positive,0.9355,None,neutral,0.5484,None,positive,0.9112,positive,Overall Positive,0.0
the soft lipstick has a smell but is not strong. lipstick doesn't come off very well after drinking water.,negative,0.4522,neutral,positive,0.6615,positive,negative,0.3887,neutral,positive,0.8048,None,neutral,0.5496,None,neutral,0.47,None,positive,0.7066,None,MIXED,0.6063
"uses: don't know texture: don't know color fastness: unknown receiving the goods and then delivering them is painfully long. the cream is quite liquid and has a nice color, but the tip of the lipstick is larger than the neck so when opened it opens up a bit",positive,0.4294,neutral,negative,0.5846,negative,negative,0.4085,None,positive,0.6151,None,positive,0.515,positive,negative,0.8475,negative,negative,0.6722,None,MIXED,0.9623
"the shop carefully packaged the product, the shop delivered the correct product, although the delivery was a bit slow due to the epidemic, the product quality is excellent.........,,,,,,,",positive,0.5737,None,positive,0.7603,None,positive,0.7867,None,positive,0.8774,None,positive,0.7389,None,neutral,0.5571,negative,positive,0.8063,positive,Overall Positive,0.0
the lipstick looks like the picture but not matte the shop packs the goods carefully friendly shipper,negative,0.7217,negative,positive,0.8086,None,positive,0.6693,None,positive,0.7912,None,positive,0.4527,None,positive,0.899,positive,positive,0.7658,positive,MIXED,0.6197
"the goods are currently in transit so delivery may take a while. beautiful color, ok, will support the shop",negative,0.474,None,positive,0.5349,None,positive,0.7374,None,positive,0.8498,None,positive,0.7756,positive,negative,0.8646,negative,positive,0.7875,None,MIXED,0.9819
"the color on the outside is a bit darker than the video, the color is so good, the lipstick is soft and doesn't dry out, the shop always packs it and it's definitely beautiful.",positive,0.5857,None,positive,0.8124,positive,positive,0.842,None,positive,0.8662,None,positive,0.5546,positive,neutral,0.6153,None,positive,0.8218,positive,Overall Positive,0.0
"looking for a good price, nice shop, sturdy in hand. but i didn't like the color right away :(",negative,0.5789,None,positive,0.4708,None,negative,0.378,None,positive,0.5445,positive,negative,0.8074,negative,negative,0.416,None,positive,0.4505,None,MIXED,0.8765
the product is good and has a good smell. the color is beautiful. i should support this shop. i will definitely support this shop again.,positive,0.7918,None,positive,0.7859,None,positive,0.8868,positive,positive,0.9219,None,positive,0.9131,positive,neutral,0.7076,None,positive,0.9053,None,Overall Positive,0.0
"delivery took a while, the lipstick was carefully wrapped, beautiful, the color is very pretty, the packaging is quite ok, satisfied with the product",negative,0.4904,None,positive,0.6673,None,positive,0.7813,None,positive,0.8576,None,positive,0.823,positive,negative,0.8546,negative,positive,0.8339,positive,MIXED,1.0042
the lipstick is soft and smooth shell looked over cheap price but high quality fast delivery,positive,0.798,None,positive,0.8728,positive,positive,0.8915,None,positive,0.9427,positive,positive,0.8434,None,positive,0.8364,positive,positive,0.9392,None,Overall Positive,0.0
the lipstick color on the lips is very beautiful. the quality of the lipstick is also very nice and packaged very carefully,positive,0.8012,None,positive,0.8378,positive,positive,0.9089,None,positive,0.9346,None,positive,0.903,positive,neutral,0.6917,None,positive,0.9185,positive,Overall Positive,0.0
"the product is very good, packaged securely, if it works in the future, i will continue to use it",positive,0.6092,None,positive,0.6986,None,positive,0.8732,None,positive,0.9006,None,positive,0.7557,None,neutral,0.7048,None,positive,0.8865,positive,Overall Positive,0.0
the lipstick is so smooth wildly beautiful color price is also cheap shipping is correct and fast,positive,0.8155,None,positive,0.8667,positive,positive,0.9063,None,positive,0.9518,positive,positive,0.8884,positive,positive,0.7373,positive,positive,0.9474,None,Overall Positive,0.0
"good product, high quality, long delivery but not too long, it's ok to use",positive,0.5499,None,positive,0.7659,None,positive,0.7338,None,positive,0.9107,None,positive,0.8379,None,neutral,0.7745,negative,positive,0.8632,None,Overall Positive,0.0
"the color is pretty and firm when held in the hand, but the scent is uneven and the scent is cheap",positive,0.5049,None,negative,0.6741,negative,positive,0.6914,positive,positive,0.7876,positive,positive,0.7715,positive,negative,0.7817,None,positive,0.4796,None,MIXED,1.004
