text,aspect,true_label,pred_label,error_type
"Uses: Lipstick Texture: thin Color fastness: 8/10 This color will look good on people with medium to white skin, the color is so pretty that many people don't know, but I don't like the lipstick quality of this line, the smell is a bit unpleasant.",texture,negative,neutral,negative->neutral
"Cheap price, buy to try and experience. All of them are durable and durable. I haven't tested the lip color yet so I can't rate it specifically. In general, every tree color is beautiful",colour,positive,neutral,positive->neutral
"Product quality is good, beautiful lipstick, long lasting does not cause dry lips, long delivery but it's okay during the pandemic so accept",shipping,neutral,negative,neutral->negative
"The lipstick is just a little matte, the color is quite pretty, the quality is ok, but why does the shell look like it's smeared with oil?",stayingpower,neutral,positive,neutral->positive
"The lipstick is beautiful and fast, but looks a bit confusing on the outside. The matte lipstick applies without clumping or dries very smoothly.",colour,neutral,negative,neutral->negative
"The lipstick is very beautiful, it's an international product so I waited a long time but I'm so satisfied. There's no need to discuss the lipstick color (as shown in the photo), the hero lipstick color is shinier than the other lipstick",texture,neutral,positive,neutral->positive
"The lipstick color is so beautiful, it like chocolate candy. In general, the price is cheap but the quality, in my personal opinion, is great. I chose a slightly dark color, which is very suitable huhu",colour,neutral,positive,neutral->positive
"U is a really nice lipstick color, delivery took a little long, thank you. The lipstick is beautiful so I'll let it go. Packaged very carefully ?",shipping,neutral,negative,neutral->negative
"Uses: lipstick has the ability to adhere to color very well Texture: matte cream lipstick Color fastness: after 3-4 hours it will begin to fade The reddish brown orange color matches all ncl skin tones, it's so pretty",stayingpower,positive,negative,positive->negative
"Uses: lipstick has the ability to adhere to color very well Texture: matte cream lipstick Color fastness: after 3-4 hours it will begin to fade The reddish brown orange color matches all ncl skin tones, it's so pretty",texture,neutral,positive,neutral->positive
"The matte cream lipstick doesn't have to worry about it slipping off, the color is really good",texture,neutral,positive,neutral->positive
"The color of the lipstick is ok, but the delivery is a bit slow, maybe it should be wrapped carefully after a week",packing,positive,negative,positive->negative
"The product is just like the picture, the quality is suitable for the price, the color is standard, the paint is a little matte, if you wipe it hard it will come off",stayingpower,neutral,negative,neutral->negative
"The picture is not true, but the lipstick is cheap and has a beautiful",colour,positive,negative,positive->negative
Uses: beautiful lipstick Texture: beautiful Color fastness: beautiful It's great to receive a lipstick with such a beautiful and satisfying color,stayingpower,positive,neutral,positive->neutral
The color 302 is the most beautiful..402 is ok..similar to merzy m5…but 501 is very light..not as dark as the picture..the lipstick is smooth but difficult to apply..especially 501…all 3 bars are difficult to blend on the lips..not pleasing to the lips at all,texture,neutral,positive,neutral->positive
"The color is pretty and has just the right amount of staying power, not matte. The color is a little lighter than the photo",stayingpower,neutral,negative,neutral->negative
"Beautiful lipstick, the shop carefully packaged each product, so delivery took a while",shipping,neutral,negative,neutral->negative
Super pretty lipstick with perfect color. These two colors are very similar. They are not very,texture,positive,neutral,positive->neutral
Super pretty lipstick with perfect color. These two colors are very similar. They are not very,colour,neutral,positive,neutral->positive
"The color of the lipstick is very beautiful. If you have sensitive skin like me, this lipstick is ok, it's not picky about your skin, it's good for your tooth enamel, it takes a while to deliver, but due to the pandemic, I understand so you should buy it and try it.",shipping,neutral,negative,neutral->negative
I've used this lipstick so many times. I don't like any color as much as this one. I'll have to buy it over and over again.,colour,positive,negative,positive->negative
"Very beautiful, very smooth lipstick, but because it's in translation, the delivery took a while. In general, I should buy it without taking photos :((",shipping,neutral,negative,neutral->negative
"The lipstick like chocolate. I don't know if my lips are quite soft, matte or not..",texture,positive,neutral,positive->neutral
"Very nice. It's extremely smooth. Unfortunately, color 02 is out of stock :(((. Ulatr … :3, you should have it",colour,negative,positive,negative->positive
"I didn't think international products would take so long.. the packaging and packaging of the lipstick is beautiful but the lipstick is quite disappointing.. the color is decent but the quality of the lipstick is so bad that the slightest touch causes it to fall on your hand.. it doesn't stick, the lipstick tip is bent too much and keeps getting stuck so you have to gently pull it out for fear it will break so buy it to make sure not to buy again",colour,neutral,positive,neutral->positive
"I didn't think international products would take so long.. the packaging and packaging of the lipstick is beautiful but the lipstick is quite disappointing.. the color is decent but the quality of the lipstick is so bad that the slightest touch causes it to fall on your hand.. it doesn't stick, the lipstick tip is bent too much and keeps getting stuck so you have to gently pull it out for fear it will break so buy it to make sure not to buy again",packing,positive,negative,positive->negative
"Air mist silky matte line: thin matte lipstick but extremely dry and reveals lip lines, anyone with dry lips should not buy it Clay mashed potato line: beautiful, matte color on lips but still has a certain softness and moisture. Highly recommended to try The super velvet line: is drier on the lips than the clay mashed potato line, but the color palette is prettier",texture,negative,positive,negative->positive
"The lipstick is smooth and can't be washed off after eating or drinking. Leave it on for a while until it becomes more pink…, lipstick causes dry lips so use more moisturizer.",texture,neutral,positive,neutral->positive
"Uses: lipstick Texture: beautiful Color fastness: also long Beautiful color, easy to wear every day",stayingpower,positive,negative,positive->negative
"The lipstick is super pretty, let's see how it goes in the video, but if I could buy more, I think lipstick 403 would be better than lipstick 402 ?.",colour,neutral,positive,neutral->positive
"First of all, the lipstick like peach, the texture is smooth, but I feel like it has some chemicals in it",texture,neutral,positive,neutral->positive
"First of all, the lipstick like peach, the texture is smooth, but I feel like it has some chemicals in it",smell,positive,negative,positive->negative
"Ordered for me so I'm not sure if the color is the same as rewiew, but the mall shop is very reassuring, fast delivery, well packaged and also includes a thank you card, recommend to buy ?",colour,neutral,negative,neutral->negative
"Extremely beautiful lipstick, perfect color, fragrant, very good value for money, carefully packaged, enthusiastic shipper will definitely support the shop again in the future",shipping,positive,negative,positive->negative
"The lipstick color is quite beautiful, just like in the picture It seems like the lipstick doesn't have a smell, but the product is so good and the price is cheap, which is great",smell,neutral,positive,neutral->positive
"Because the lipstick is cheap, I didn't expect much, but I bought it and applied it, and I love it. The outer shell looks very good ? The lipstick is matte but it doesn't make the lips heavy when applied, and the color is also very beautiful.",stayingpower,positive,negative,positive->negative
"Delivery took a while, everyone, but the packaging and product quality are terrible",packing,positive,negative,positive->negative
"Ordered last year and received it this year. It took a long time to deliver, but the quality of the lipstick is ok and the packaging is already good. I naturally went to buy this color and apply it on the alum.",colour,negative,positive,negative->positive
"Great quality, worth buying and long lasting but the makeup remover doesn't stick to the lips very well",stayingpower,positive,negative,positive->negative
"I don't really like the quality of the lipstick, but the color is okay. Let's try another color to see how it goes",colour,positive,neutral,positive->neutral
The lipstick is super pretty but I have to apply many layers to get the same color as in the photo. The lipstick like chocolate hehe I love it,colour,neutral,positive,neutral->positive
"Foreign shops should take a long time to deliver Shipper is friendly The shop gives enthusiastic advice Pack carefully As for the quality, I don't know yet because I haven't tried it yet",shipping,negative,positive,negative->positive
"The lip color is a bit brighter than I expected, but the quality is quite difficult to apply evenly, but the reviews are quite good in terms of spp",colour,neutral,negative,neutral->negative
"Buying at a mall makes you feel secure, but as soon as you get home, the cosmetics store near your house has cheaper sales ?",price,negative,positive,negative->positive
"The lipstick is smooth and of chocolate. I like color 003 more, it is a slightly orange brown color that is easy to use for many skin types, color 301 is a bit reddish. I'm looking for a darker shade but don't know what color it is. If you have bought it, please give me some advice",colour,positive,neutral,positive->neutral
The color 402 makeup will be more beautiful and the lipstick will be smooth and won't dry your lips,colour,positive,neutral,positive->neutral
"First time buying lipstick from this brand, the store delivered the right color, beautiful lipstick color The shop delivered the goods quite quickly, the packaging did not use plastic bags, but fortunately there were no dents",packing,neutral,positive,neutral->positive
"The lipstick shell is very nice to the touch, the lipstick is a bit dry but the texture is ok You should buy it?",texture,negative,positive,negative->positive
Solid lipstick. Pack the product securely. Lipstick has beautiful color. Fragrant lipstick,texture,neutral,positive,neutral->positive
"I've bought it 3 times already, the lipstick color is beautiful The smell is not very pleasant …",smell,neutral,negative,neutral->negative
"Uses: Helps lips shine brightly Texture: soft, smooth, silky Color fastness: amazing goodjob! I love your gifts <3",stayingpower,positive,neutral,positive->neutral
"The lipstick applies beautifully and beautifully, but I think this time it's different from before, the lipstick is much more liquid",texture,negative,positive,negative->positive
"The lipstick is fragrant, smooth, and when wiped off, a light color remains. I like it very much",stayingpower,positive,negative,positive->negative
"Fragrant, I really like this lipstick, easy to spread the color beautifully, holds the color on the lips a little well, but it is not suitable for dark skin and you have dark lip lines. (video and photo are not related).",colour,positive,negative,positive->negative
"The lipstick is of poor quality, the smell is bad, it says matte lipstick but after a little wiping it goes away. If you pay attention, you will see that there are 2 types of lipsticks for sale (gold cap and black cap), and the lipstick I bought (gold cap) is very popular on sale (maybe it's because the sale is so bad that it can be sold).",price,negative,positive,negative->positive
"The color is beautiful, just easy to wear. The color of the photo is not very accurate. Shipping time is very reasonable. I placed the order with excitement waiting to experience the product and I didn't get tired of waiting at all. It can be seen that the shipping company does not care about the weather and remote roads to deliver the products",colour,neutral,negative,neutral->negative
"Uses: lipstick Texture: thin and light Color fastness: ok 2 lipsticks are only 94k, so don't ask for much. Nma lipstick is ok to use",texture,positive,neutral,positive->neutral
"Quality product, scent is not color is slightly lighter than the photo. The long delivery is probably due to the epidemic",smell,positive,neutral,positive->neutral
"The lipstick is very beautiful. The lipstick is quite matte on the lips, super beautiful. Color 06 Doesn't dry out the lips and great. As for the mouth freshener spray, you spray it on and it's sweet but I don't think it lasts long, so maybe a whole bottle is enough. I like it very much but the delivery took so long ?",stayingpower,positive,negative,positive->negative
"Beautiful lipstick color, of chocolate, delivery takes a while, friendly shipping.",shipping,neutral,negative,neutral->negative
"Tet so delivery takes quite a while. The lipstick color is beautiful but the two lipstick lines are different so the quality is different, it's ok to buy it for experience at this price range",texture,neutral,negative,neutral->negative
"The lipstick is very beautiful, the color is beautiful, the packaging is not very sturdy, but the product is still ok, no dents, so I'm quite satisfied, the price is also cheap, so don't ask for much. nck okay.",packing,positive,negative,positive->negative
"Buy 2 lipsticks. The outer shell looks good, but when opened, the tree is ok. The remaining tree is weak. Because it has lost the white bark at the top of the lipstick container. Quite sad. Well, you get what you pay for. Buying cheap must be accepted. I still rate 5* when buying from the shop.",price,neutral,positive,neutral->positive
Texture: ok Color fastness: slightly faster than the old version :**((((((((((#(@(((#(#(#((#(#(#((#(#(#(#(#(#(#(#),stayingpower,negative,positive,negative->positive
"I waited more than a month to receive it due to the epidemic, but in return I am very satisfied with the quality. I swatched the color, wiped it off and left the tint layer. The brush head is soft and the lipstick is smooth.",colour,positive,negative,positive->negative
"So beautiful, it so good",smell,negative,positive,negative->positive
"I bought it during the sale so the price was quite cheap. The store gave me a eglips lipstick color 04 that is almost the same as the 2 color tones I bought, thank you very much store.",colour,neutral,positive,neutral->positive
"Carefully wrapped, delivery took a while, beautiful color, holding the lipstick feels as smooth as velvet",shipping,positive,negative,positive->negative
"If the delivery is late, next time I will give you a break Expensive lipstick on sale, still expensive, buy Romand lipstick, bbia blackrouge :))",price,negative,positive,negative->positive
Translated but it took less than a week for me to receive the goods. The shop packaged carefully. The lipstick is fragrant and smooth.,shipping,positive,neutral,positive->neutral
"The lipstick like orange milk. But the color is not as dark as in the picture but it's okay, I still like it very much. It's so beautiful that I bought it, but the store covered the smiley face and made it look pretty, so I had to peel it off ?",smell,positive,neutral,positive->neutral
"The lipstick like orange milk. But the color is not as dark as in the picture but it's okay, I still like it very much. It's so beautiful that I bought it, but the store covered the smiley face and made it look pretty, so I had to peel it off ?",colour,positive,negative,positive->negative
"I didn't open this lipstick because I gave it to a friend, but the color is beautiful but I don't know what the quality will be like.",texture,positive,neutral,positive->neutral
Texture: beautiful Color fastness: tip of tip,stayingpower,positive,neutral,positive->neutral
"The lipstick is very matte,,, but it easily darkens the lips, please note, it's hard to remove and it's a bit burning when you put it on.",texture,neutral,negative,neutral->negative
Fast delivery but also slow delivery The quality of the product is absolutely terrible I also got a lipstick and a lip mask with an egg-shaped mask Super likehh,shipping,neutral,positive,neutral->positive
Son ?p nh?ng d? trôi :(( ?úng màu… hahahahahahahahahahahaha,stayingpower,negative,positive,negative->positive
"Oh my god, mom! From the packaging to the design, it is definitely beautiful, so beautiful ?. I have to buy more to get the full set to get it. It's not so beautiful, but it's also the right color. I give the shop many stars ?",shipping,neutral,positive,neutral->positive
"Uses: creates super beautiful color Texture: liquid, soft and smooth Color fastness: about 4 hours Long delivery leads to depression The lipstick color is very beautiful The box is also very beautiful",stayingpower,neutral,positive,neutral->positive
"Beautifully designed, the rough shell is pleasant to the touch. The lipstick is a bit dry on the lips so apply lip balm first. It's fragrant, smooth, and the brush tip is soft and easy to apply. You should buy it ^-^",texture,negative,positive,negative->positive
"The lipstick is soft and doesn't dry your lips. The chocolate smell is super fragrant, not this color is very gentle and easy to use on the lips, MLBB style. Really, this price with this lipstick quality is really worth buying.",colour,positive,negative,positive->negative
"Images are for illustration purposes only Despite the translation, the shop delivered the goods quickly I also like that lipstick color, but my skin type is a bit picky If you add a little makeup, you'll look better",colour,neutral,positive,neutral->positive
"Bought right during the flash sale time frame so the price is extremely cheap. The lipstick is small and pretty, the shell is beautifully designed and sturdy, and the lipstick color is smooth and doesn't dry out. Very satisfied.",colour,neutral,positive,neutral->positive
I like 302 but it's hard to flirt because it's too stubborn. As tough as watercolor :) Color 403 easily and is also beautiful Deliver complete and correct goods But only 2.4 grams is a bit smaller and lighter than expected.,texture,negative,positive,negative->positive
I like 302 but it's hard to flirt because it's too stubborn. As tough as watercolor :) Color 403 easily and is also beautiful Deliver complete and correct goods But only 2.4 grams is a bit smaller and lighter than expected.,colour,neutral,positive,neutral->positive
I like 302 but it's hard to flirt because it's too stubborn. As tough as watercolor :) Color 403 easily and is also beautiful Deliver complete and correct goods But only 2.4 grams is a bit smaller and lighter than expected.,shipping,neutral,positive,neutral->positive
"The lipstick is very pretty, the quality is smooth, the delivery is quite slow but the translation is understandable, the package is well packaged",shipping,neutral,negative,neutral->negative
Uses: Can I use lipstick to go out with girls? :)) Texture: I haven't used it yet so I don't know Color fastness: looks matte as people say,stayingpower,negative,positive,negative->positive
I think it's more orange than red but the lipstick is very smooth,colour,neutral,negative,neutral->negative
"The pink color is very pretty. It's a bit dull, so white skin tones use ukie better. Suitable for Halloween makeup, thank you for buying it for me hihi",colour,positive,neutral,positive->neutral
Beautiful lipstick. It's normal. Will support more :))))))))) ?,stayingpower,neutral,negative,neutral->negative
The lipstick color is quite pleasing on the lips. Mild smell. Bought on flash sale so thank you very much to the store,smell,positive,neutral,positive->neutral
"Even though it's a cream lipstick, it doesn't dry out your lips at all. It's very soft. If you want to look beautiful, remember to use it every so often. The color is beautiful, the smell is light orange",smell,positive,neutral,positive->neutral
Uses: Texture: 0,texture,negative,neutral,negative->neutral
"Actually, at this price range, it's ok to buy, I bought it on sale for only 26k so I'm satisfied, but if I buy it for regular use then I shouldn't, because I have to apply lip balm carefully to make it look beautiful, not clumpy.",texture,negative,positive,negative->positive
"The lipstick shell looks very pretty, sturdy, the color is very beautiful ? My lips are a bit dry so after applying it, sitting in the air conditioner causes the skin to peel even though I've carefully conditioned it… :( If your lips are too dry, you should consider it. The color is beautiful but also doesn't wash off much so vote 8/10 ?",stayingpower,positive,negative,positive->negative
"I bought 1 tube before, the lipstick is beautiful and fragrant but a bit dry. Just buy it for fun, it's not your money.",price,neutral,positive,neutral->positive
"The lipstick has a nice color, but the texture is a bit dry so the lip lines can easily show. Shipping doesn't take too long even though it's international. Worth buying!",shipping,positive,neutral,positive->neutral
Satisfactory design. The lipstick is also quite smooth. Not really matte but not too easy to wear. The color is a bit darker than the color in the photo. Still satisfied with this lipstick and this price,stayingpower,neutral,negative,neutral->negative
"I like it so much <3 The lipstick is so fragrant Deep color Fast delivery and cheap too, not very fast but quality like this is 5? ha <3",stayingpower,neutral,negative,neutral->negative
"The color of the lipstick is more earthy pink, my dear, it very good ? ?",colour,neutral,positive,neutral->positive
Structure: Carefully packaged Color fastness: Haven't tested so don't know The lipstick color is quite satisfactory. Beautiful smooth shell.,texture,neutral,positive,neutral->positive
"The lipstick is quite matte but dries quickly and is difficult to diffuse. The scent is not very fragrant. Delivery takes quite a while, about a week. The color is too red, so I give it 4*?",colour,negative,positive,negative->positive
"The lipstick is very beautiful in form Solid structure Long lasting, matte, color adhesion",texture,positive,neutral,positive->neutral
"Uses: … Texture: thin, light, matte Color fastness: quite long lasting Beautiful color, looks good on lips, takes quite a while to deliver. Slightly smaller than imagined",texture,positive,neutral,positive->neutral
Color fastness: beautiful can do yyyy can do that,stayingpower,positive,neutral,positive->neutral
Delivery took a while. I bought it at a reasonable price but the color is super beautiful. Everyone should buy it. klq image,colour,positive,negative,positive->negative
Great quality product! Packaging will definitely be appreciated,packing,positive,negative,positive->negative
"Texture: beautiful Color fastness: I don't know if it to my lips Uses: beautiful The color is beautiful, but it doesn't stick to my lips at all.",texture,positive,neutral,positive->neutral
"Uses: beauty quickly The color is quite pretty, recommended by a friend to buy, I hope it will last a long time and not fade.",stayingpower,neutral,positive,neutral->positive
"The lipstick has a beautiful color, dries quickly and spreads, but it's better if it's difficult to apply..",texture,negative,positive,negative->positive
"Use: red Texture: soft Color fastness: good International shipping may take a while. 909 knots, brother, howl",colour,neutral,positive,neutral->positive
"Use: apply on lips Texture: cream lipstick Color fastness: good The outside of the lipstick is really nice, on the inside, it feels a little dry on the lips, but it doesn't feel smooth.",texture,neutral,negative,neutral->negative
Long delivery because it's Tet (3 weeks) The lipstick like sweet chocolate Non-matte lipstick has a lot of nourishment,stayingpower,negative,positive,negative->positive
"Correct product delivery, beautiful design but the lipstick is a bit powdery and difficult to spread. Overall it's ok",shipping,positive,neutral,positive->neutral
"The quality of the lipstick is good and the color is quite pretty. On sale, the price is very reasonable",stayingpower,positive,negative,positive->negative
"It's been a long time since I've been a teacher, exactly a month ago, the lipstick is so matte that you can wipe it off if you try it on your hand",stayingpower,negative,positive,negative->positive
"I bought 2 color bars 402 and 404 eagle vc :))) Not very matte, the lipstick is smooth, the lipstick smell I hate, the price is okay",colour,positive,neutral,positive->neutral
"Delivered on time, lipstick makes lips dry, good, beautiful packaging.",texture,negative,positive,negative->positive
"Delivered on time, lipstick makes lips dry, good, beautiful packaging.",shipping,positive,neutral,positive->neutral
"Due to the pandemic, delivery was not very fast. I bought it and used it for a long time but found it sold here at an ok price and the quality is ok too.",shipping,neutral,negative,neutral->negative
"The lipstick is a bit smeary on the skin, suitable as a base and then mixed with a darker color is fine.",colour,negative,neutral,negative->neutral
"When delivered here, the shell was a bit distorted so I was a little disappointed but it's okay, the lipstick color is beautiful and the body is fine",packing,negative,positive,negative->positive
So,shipping,positive,negative,positive->negative
"This beautiful lipstick color is a bit darker, 003 will look better",colour,negative,positive,negative->positive
"I received the goods after 2 weeks, a birthday gift so I didn't try it out, maybe it's beautiful",shipping,positive,neutral,positive->neutral
Delivered all goods. waited 1 week. product ok. cheap price. will continue to support…,shipping,positive,neutral,positive->neutral
"Using bbia a lot, it seems that the lipstick quality of the new batch of bbia is still the best compared to the following versions. It's a bit sad that the lipstick I received this time was missing a knuckle and there was no lipstick. Okila lipstick quality, fragrance, this color is a bit too for me. During the pandemic, I ordered from the 22nd to the 25th and received it, very fast service.",colour,negative,neutral,negative->neutral
Foreign goods may take a little longer to deliver. The lipstick color is beautiful but it doesn't suit me :)),colour,positive,negative,positive->negative
"I bought it a second time, the lipstick is smooth and velvety ok, but the matteness is relatively poor, the base is more red than the website, but overall the color is still pretty.",stayingpower,positive,negative,positive->negative
"Uses: good Texture: light consistency Color fastness: 6 hours Delivery took a long time but in return, the shop packaged securely + nice smooth lipstick, cream powder type lipstick in general very satisfied with the product",stayingpower,neutral,negative,neutral->negative
"Uses: good Texture: light consistency Color fastness: 6 hours Delivery took a long time but in return, the shop packaged securely + nice smooth lipstick, cream powder type lipstick in general very satisfied with the product",texture,positive,neutral,positive->neutral
"When I apply the lipstick on my hand, the color is very standard, but on my lips it's a different color and the lipstick is very difficult to blend so I have to blend it quickly. It's matte, the lipstick is cheap and beautiful and when I apply it on my hand, I smell it carefully and it bad. The quality is also okay for me ?",colour,negative,positive,negative->positive
"The right color, beautiful, matte lipstick, color 402 is pretty and color 302 probably doesn't match so it's a bit on the lips.",colour,neutral,positive,neutral->positive
"The lipstick is smooth, quite ok, after eating and drinking, the color layer is still quite good, fades faster than merzy, will buy more in the future",stayingpower,neutral,negative,neutral->negative
"The lipstick has a good color base but has a coffee smell, so I really like it :((",smell,negative,positive,negative->positive
The color is brighter than in the photo. Cute lipstick but feels a bit dry on my lips.,colour,positive,negative,positive->negative
"The earthy orange color is very beautiful, although the smell is a bit harsh, the color is beautiful and quite sticky",stayingpower,positive,neutral,positive->neutral
"The color on the outside looks a bit more pink, and when opened, there is a faint acrid smell like the smell of bitter lemon peel",smell,negative,neutral,negative->neutral
"The lipstick is beautiful and softens the lips, it wears off quickly, but I don't like this color",colour,positive,negative,positive->negative
"The lipstick color is very beautiful, the lipstick is soft and smooth, easy to spread. When wiped with tissue paper, it will still leave a light reddish brown finish. The smell is quite pleasant.",stayingpower,positive,neutral,positive->neutral
The lipstick color is super pretty but a bit more picky about my skin. The one with white/make up will look better. Who wants to get the 99k pass code? 0963168393,price,neutral,positive,neutral->positive
Delivery took a while because it was from abroad. Color 934 is extremely beautiful. I have 936 left to give to you so I can't test the color yet,colour,positive,neutral,positive->neutral
Cheap and good lipstick,stayingpower,positive,negative,positive->negative
"Delivery didn't take long. Poor packaging caused the lipstick shell to be dented, but in return, the quality of the lipstick cannot be faulted. The lipstick washes off when eaten.",shipping,positive,neutral,positive->neutral
"Beautiful color, good lip balm powder,",texture,negative,positive,negative->positive
The color comes out beautifully. The lipstick is smooth but a bit heavy on the lips. I'm bored with one lipstick and it's not matte :)) I apply it on my lips and then use a dry makeup remover cotton to wipe it off and it's gone? but 2 of them are 99k and the price is so good. The store's packaging was so bad that it distorted the entire lipstick box,texture,neutral,positive,neutral->positive
Bbia Last Velvet lip tint lipstick version 5 (5 colors) 5g Classification 24 Trendy notes,stayingpower,positive,neutral,positive->neutral
Bbia Last Velvet lip tint lipstick version 5 (5 colors) 5g Classification 24 Trendy notes,texture,neutral,positive,neutral->positive
"Uses: beautiful lipstick color, about 90% true to the color chart Texture: Beautiful lipstick, does not dry lips Color fastness: Average matteness, easy to wear and drink",stayingpower,neutral,negative,neutral->negative
"The shell is quite thick, the lipstick like candy, the texture is a bit thick and the color is exactly what I wanted, rate 5 stars",texture,neutral,negative,neutral->negative
The lipstick has a nice price and a beautiful color. I like it so much that I bought it a second time and the store even gave me a gift,price,neutral,positive,neutral->positive
"Super pretty lipstick, soft and fragrant. It's just the paint shell that's missing, the smell is a bit horrible, but everything else is ok?everyone looks at me and comments, does he only have 1 piece?",smell,positive,negative,positive->negative
Bought the 4th plant for my At first it was quite fragrant but then the smell became a bit different,smell,neutral,negative,neutral->negative
"Ok product, beautiful color paint, very satisfied, ok delivery. You should buy it, everyone",shipping,positive,neutral,positive->neutral
The lipstick is not very matte and the smell is okay You should buy whatever you pay for,price,positive,neutral,positive->neutral
